"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","98.7","1,165.1","9.2","0.9","268.6"
"T.J. Hockenson","MIN","83.7","871.1","5.8","0.8","203.9"
"George Kittle","SF","61.6","808.8","5.8","0.5","176.6"
"Mark Andrews","BAL","68.5","709.2","5.7","0.1","173.1"
"Evan Engram","JAC","72.4","722.5","3.9","0.7","166.4"
"Darren Waller","NYG","63.6","700.7","3.9","0.2","156.8"
"David Njoku","CLE","58.9","657.3","5.3","1.0","154.3"
"Kyle Pitts","ATL","57.0","750.5","3.6","0.1","153.4"
"Dallas Goedert","PHI","61.4","690.3","3.8","0.5","152.2"
"Sam LaPorta","DET","53.4","615.7","5.9","0.7","149.4"
"Cole Kmet","CHI","52.8","560.5","4.6","0.2","136.4"
"Dalton Schultz","HOU","56.1","565.5","4.2","0.7","136.3"
"Dalton Kincaid","BUF","51.5","570.6","4.4","0.7","133.6"
"Pat Freiermuth","PIT","54.5","578.1","3.5","0.2","132.7"
"Tyler Higbee","LAR","58.2","551.8","3.1","0.1","131.7"
"Jake Ferguson","DAL","48.1","500.7","4.5","0.1","125.1"
"Chigoziem Okonkwo","TEN","46.4","550.4","3.0","0.1","121.6"
"Gerald Everett","CHI","49.0","497.1","3.5","0.3","119.9"
"Trey McBride","ARI","46.0","516.0","3.2","0.2","116.6"
"Juwan Johnson","NO","41.0","471.0","4.2","0.1","113.2"
"Tyler Conklin","NYJ","49.6","489.7","2.2","0.1","111.7"
"Cade Otton","TB","44.6","468.7","3.0","0.3","109.1"
"Hunter Henry","NE","41.0","466.5","3.3","0.1","107.5"
"Noah Fant","SEA","43.3","455.6","2.4","0.1","103.1"
"Taysom Hill","NO","17.2","229.9","2.4","1.4","102.9"
"Luke Musgrave","GB","40.2","404.4","2.5","0.4","94.8"
"Dawson Knox","BUF","35.5","385.4","3.4","0.2","94.1"
"Greg Dulcich","DEN","37.0","407.6","2.6","0.1","93.2"
"Mike Gesicki","CIN","35.9","391.7","2.8","0.1","91.5"
"Michael Mayer","LV","35.8","398.9","2.6","0.4","90.7"
"Zach Ertz","WAS","41.4","358.7","2.1","0.1","89.8"
"Irv Smith Jr.","KC","38.3","328.0","3.1","0.3","88.9"
"Hayden Hurst","LAC","40.6","357.9","2.0","0.4","87.8"
"Tanner Hudson","CIN","39.0","348.9","0.5","0.0","76.9"
