"Player","Team","23REC","23RecYDS","23RecTDS","23RushATT","23RushYDS","23RushTDS","FL","FPTS"
" ","","",""
"Tyreek Hill","MIA","106.0","1,476.0","9.3","9.4","49.9","0.5","0.6","315.9"
"CeeDee Lamb","DAL","105.0","1,361.3","8.7","9.2","66.2","0.5","0.8","301.3"
"Justin Jefferson","MIN","104.1","1,455.0","7.5","3.7","13.5","0.3","0.5","296.5"
"Ja'Marr Chase","CIN","103.1","1,304.0","9.2","4.5","15.4","0.1","1.0","288.4"
"Stefon Diggs","BUF","100.3","1,248.2","8.4","0.6","3.1","0.0","0.6","274.5"
"Amon-Ra St. Brown","DET","104.2","1,215.9","6.7","8.4","62.5","0.4","0.4","273.7"
"Davante Adams","LV","98.2","1,257.4","8.2","1.8","6.2","0.1","0.3","273.7"
"A.J. Brown","PHI","85.4","1,290.4","8.8","0.3","4.0","0.1","1.2","265.7"
"Cooper Kupp","LAR","89.1","1,093.4","6.7","7.8","38.3","0.3","0.7","242.9"
"Garrett Wilson","NYJ","88.9","1,156.2","6.1","2.3","5.3","0.0","1.3","238.9"
"Keenan Allen","CHI","95.5","1,055.6","5.9","1.3","7.0","0.0","0.9","235.6"
"DK Metcalf","SEA","79.7","1,049.9","7.6","0.1","0.8","0.0","0.8","228.9"
"Chris Olave","NO","82.3","1,156.9","5.4","0.0","0.0","0.0","1.3","227.8"
"DJ Moore","CHI","75.8","1,053.1","7.1","6.2","37.4","0.2","0.6","227.6"
"DeVonta Smith","PHI","83.0","1,056.2","6.5","0.0","0.0","0.0","0.9","225.9"
"Mike Evans","TB","72.1","1,054.0","7.6","0.1","0.6","0.0","0.1","222.9"
"Jaylen Waddle","MIA","78.8","1,078.0","5.5","3.9","21.9","0.2","0.6","221.7"
"Deebo Samuel","SF","64.7","892.1","4.5","42.8","237.8","3.0","1.2","220.9"
"Amari Cooper","CLE","74.2","1,062.1","6.8","0.5","1.1","0.0","0.4","220.7"
"Calvin Ridley","TEN","78.2","997.1","6.7","2.2","10.5","0.0","0.5","218.1"
"Tee Higgins","CIN","73.4","988.8","6.2","0.5","1.8","0.0","0.3","209.2"
"Brandon Aiyuk","SF","68.2","1,001.2","6.4","3.1","20.5","0.2","0.9","208.5"
"Chris Godwin","TB","86.3","959.0","3.7","2.7","16.4","0.3","0.7","206.4"
"DeAndre Hopkins","TEN","76.2","985.9","5.3","0.1","2.7","0.0","0.7","205.7"
"Michael Pittman Jr.","IND","81.4","944.0","4.4","2.7","19.6","0.0","0.8","202.5"
"Tyler Lockett","SEA","78.7","909.7","5.5","0.2","0.3","0.0","0.6","201.7"
"Terry McLaurin","WAS","73.0","989.4","4.2","3.3","16.0","0.1","0.2","198.6"
"Diontae Johnson","CAR","76.2","888.3","4.4","4.5","21.2","0.0","0.5","192.8"
"Drake London","ATL","74.5","927.5","4.8","0.0","0.0","0.0","1.8","192.3"
"Christian Kirk","JAC","69.7","892.1","5.5","3.2","14.9","0.1","1.2","191.6"
"Christian Watson","GB","60.8","843.8","5.6","8.1","56.1","0.8","0.2","189.2"
"Marquise Brown","KC","73.3","868.7","4.5","1.4","10.9","0.0","0.2","188.1"
"Jordan Addison","MIN","64.1","856.4","5.9","3.1","15.1","0.1","0.8","185.6"
"George Pickens","PIT","60.7","904.2","5.0","2.7","18.3","0.4","0.2","185.2"
"Brandin Cooks","DAL","64.9","829.5","5.5","3.1","21.7","0.1","0.1","183.1"
"Nico Collins","HOU","61.5","813.2","6.7","0.0","1.4","0.0","0.1","182.8"
"Courtland Sutton","DEN","62.3","848.3","5.3","0.5","2.0","0.0","0.9","177.6"
"Jerry Jeudy","CLE","62.8","881.1","3.8","1.4","9.7","0.0","0.1","174.5"
"Zay Flowers","BAL","60.2","806.4","5.0","2.8","24.1","0.3","0.8","173.4"
"Gabe Davis","JAC","49.7","790.6","6.5","0.1","-0.3","0.0","0.7","166.3"
"Puka Nacua","LAR","53.9","851.2","3.9","3.1","38.1","0.1","0.4","166.2"
"Jakobi Meyers","LV","63.5","752.8","4.3","1.1","5.7","0.3","0.7","165.9"
"Jahan Dotson","WAS","58.5","753.0","5.1","2.9","8.6","0.1","0.2","165.5"
"Adam Thielen","CAR","64.8","701.4","4.5","0.7","3.0","0.0","0.1","162.2"
"Jaxon Smith-Njigba","SEA","58.2","769.4","4.4","1.8","9.1","0.1","0.8","161.1"
"Jayden Reed","GB","52.5","691.2","4.7","3.4","41.1","0.5","0.7","155.7"
"Romeo Doubs","GB","57.3","658.1","5.2","0.7","6.4","0.0","0.8","153.5"
"Tyler Boyd","CIN","58.5","680.7","3.5","1.5","10.2","0.0","0.2","148.7"
"Michael Thomas","NO","59.3","645.8","3.4","0.3","0.2","0.0","0.2","144.1"
"JuJu Smith-Schuster","NE","61.7","655.1","2.9","0.1","0.5","0.0","0.7","143.5"
"Elijah Moore","CLE","54.8","666.4","3.2","6.0","26.4","0.2","0.6","143.2"
"Rashee Rice","KC","46.2","674.2","5.0","1.3","5.3","0.0","0.7","142.8"
"Treylon Burks","TEN","50.4","674.0","3.1","6.4","46.7","0.1","0.2","141.5"
"Curtis Samuel","BUF","51.9","538.7","2.7","28.5","129.0","1.0","0.5","140.3"
"Quentin Johnston","LAC","48.8","674.3","3.4","2.9","14.9","0.1","0.7","137.1"
"Rondale Moore","ATL","55.8","545.8","1.7","13.1","85.4","0.4","0.4","130.4"
"DJ Chark Jr.","CAR","43.5","649.6","3.7","0.1","0.9","0.0","0.4","129.8"
"Zay Jones","JAC","52.3","562.2","3.3","1.8","6.2","0.0","0.2","128.7"
"K.J. Osborn","NE","46.4","541.2","4.0","3.0","11.9","0.1","0.2","126.0"
"Rashid Shaheed","NO","37.9","617.9","2.9","4.1","46.6","0.8","0.4","125.7"
"Darnell Mooney","ATL","46.1","592.4","3.1","1.9","9.0","0.1","0.1","125.3"
