,,,Passing,,,,Rushing,,,,Receiving,,,,Kick Ret,,Punt Ret,
Name,Team,Pos,YDS,TD,INT,YPA,ATT,YDS,AVG,TD,REC,YDS,AVG,TD,YDS,TD,YDS,TD
Israel Abanikanda,NYJ,RB,0,0,0,0.0,59,246,4.2,2,9,68,7.6,0,0,0,0,0
Ameer Abdullah,LV,RB,0,0,0,0.0,11,46,4.2,0,9,68,7.6,0,0,0,0,0
De'Von Achane,MIA,RB,0,0,0,0.0,199,975,4.9,8,40,319,8.0,2,0,0,0,0
Davante Adams,LV,WR,0,0,0,0.0,1,5,5.0,0,89,1083,12.2,7,0,0,0,0
Jordan Addison,MIN,WR,0,0,0,0.0,3,19,6.3,0,73,1012,13.9,6,0,0,0,0
Nelson Agholor,BAL,WR,0,0,0,0.0,1,4,4.0,0,13,167,12.8,1,0,0,0,0
Jamal Agnew,FA,WR,0,0,0,0.0,5,26,5.2,0,11,151,13.7,1,366,0,303,0
Salvon Ahmed,MIA,RB,0,0,0,0.0,15,63,4.2,0,9,64,7.1,0,0,0,0,0
Brandon Aiyuk,SF,WR,0,0,0,0.0,1,5,5.0,0,76,1113,14.6,7,0,0,0,0
Cam Akers,FA,RB,0,0,0,0.0,44,172,3.9,1,3,23,7.7,0,0,0,0,0
Jordan Akins,CLE,TE,0,0,0,0.0,0,0,0.0,0,8,80,10.0,1,0,0,0,0
Rasheen Ali,FA,RB,0,0,0,0.0,31,127,4.1,1,6,43,7.2,0,0,0,0,0
Mo Alie-Cox,IND,TE,0,0,0,0.0,0,0,0.0,0,10,107,10.7,1,0,0,0,0
Josh Allen,BUF,QB,4221,32,14,7.4,108,551,5.1,9,0,0,0.0,0,0,0,0,0
Keenan Allen,LAC,WR,0,0,0,0.0,2,10,5.0,0,86,984,11.4,7,0,0,0,0
Kyle Allen,FA,QB,186,1,1,6.6,3,13,4.3,0,0,0,0.0,0,0,0,0,0
Davis Allen,LAR,TE,0,0,0,0.0,0,0,0.0,0,13,132,10.2,1,0,0,0,0
Braelon Allen,FA,RB,0,0,0,0.0,62,253,4.1,2,7,51,7.3,0,0,0,0,0
Tyler Allgeier,ATL,RB,0,0,0,0.0,133,559,4.2,4,18,131,7.3,1,0,0,0,0
Matt Ammendola,FA,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Mark Andrews,BAL,TE,0,0,0,0.0,0,0,0.0,0,68,864,12.7,7,0,0,0,0
Tutu Atwell,LAR,WR,0,0,0,0.0,3,17,5.7,0,19,242,12.7,1,0,0,0,0
Brandon Aubrey,DAL,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Calvin Austin,PIT,WR,0,0,0,0.0,7,42,6.0,0,23,247,10.7,1,458,0,249,0
Michael Badgley,DET,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Tyson Bagent,CHI,QB,188,1,1,6.5,6,29,4.8,0,0,0,0.0,0,0,0,0,0
Emani Bailey,FA,RB,0,0,0,0.0,29,121,4.2,1,4,30,7.5,0,0,0,0,0
Javon Baker,FA,WR,0,0,0,0.0,2,12,6.0,0,22,268,12.2,2,0,0,0,0
Saquon Barkley,PHI,RB,0,0,0,0.0,261,1157,4.4,7,44,331,7.5,2,0,0,0,0
AJ Barner,FA,TE,0,0,0,0.0,0,0,0.0,0,14,150,10.7,1,0,0,0,0
Tyler Bass,BUF,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Rashod Bateman,BAL,WR,0,0,0,0.0,1,5,5.0,0,42,532,12.7,3,0,0,0,0
John Bates,WAS,TE,0,0,0,0.0,0,0,0.0,0,5,51,10.2,0,0,0,0,0
C.J. Beathard,JAX,QB,186,1,1,6.6,4,15,3.8,0,0,0,0.0,0,0,0,0,0
Odell Beckham,FA,WR,0,0,0,0.0,1,5,5.0,0,26,325,12.5,2,0,0,0,0
David Bell,CLE,WR,0,0,0,0.0,1,5,5.0,0,19,197,10.4,1,0,0,0,0
Jaheim Bell,FA,TE,0,0,0,0.0,0,0,0.0,0,23,253,11.0,2,0,0,0,0
Ronnie Bell,SF,WR,0,0,0,0.0,1,5,5.0,0,15,192,12.8,1,0,0,0,0
Daniel Bellinger,NYG,TE,0,0,0,0.0,0,0,0.0,0,13,138,10.6,1,0,0,0,0
Stetson Bennett,LAR,QB,92,1,0,7.1,3,13,4.3,0,0,0,0.0,0,0,0,0,0
Trey Benson,FA,RB,0,0,0,0.0,124,519,4.2,4,20,145,7.3,1,0,0,0,0
Braxton Berrios,FA,WR,0,0,0,0.0,2,12,6.0,0,21,213,10.1,1,412,0,258,0
Tank Bigsby,JAX,RB,0,0,0,0.0,62,260,4.2,2,9,65,7.2,0,92,0,0,0
Raheem Blackshear,CAR,RB,0,0,0,0.0,13,55,4.2,0,9,68,7.6,0,321,0,9,0
Rodrigo Blankenship,FA,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Jake Bobo,SEA,WR,0,0,0,0.0,1,5,5.0,0,25,307,12.3,2,0,0,0,0
Brandon Bolden,FA,RB,0,0,0,0.0,4,17,4.3,0,1,6,6.0,0,0,0,0,0
Chris Boswell,PIT,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Kendrick Bourne,NE,WR,0,0,0,0.0,2,12,6.0,0,39,493,12.6,3,0,0,0,0
Kayshon Boutte,NE,WR,0,0,0,0.0,2,10,5.0,0,26,325,12.5,2,0,0,0,0
Brock Bowers,FA,TE,0,0,0,0.0,0,0,0.0,0,61,690,11.3,5,0,0,0,0
Tyler Boyd,FA,WR,0,0,0,0.0,2,9,4.5,0,54,561,10.4,3,0,0,0,0
