"Player","Team","Pos","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Receiving Rec","Receiving X-Rec","Receiving Yds","Receiving X-Yds","Receiving TD","Receiving X-TD","Rushing Yds","Rushing X-Yds","Rushing TD","Rushing X-TD"
"Rhamondre Stevenson","NE","RB","147.7","160.8","-13.100000000000023","12.3","13.4","-1.1","12","38","41.78","238","309.95","0","0.624","619","663.872","4","2.99"
"T.J. Hockenson","MIN","TE","221","218.3","2.6999999999999886","14.7","14.6","0.2","15","95","87","960","951.03","5","6.0304","0","0","0","0"
"Charlie Jones","CIN","WR","14.7","15.8","-1.1000000000000014","1.8","2","-0.1","8","7","6.68","64","78.44","0","0.0672","13","8.4378","0","0"
"Nico Collins","HST","WR","258.4","207.9","50.49999999999997","17.2","13.9","3.4","15","80","71.97","1297","950.1","8","6.7296","7","4.7824","0","0.01"
"Zamir White","LV","RB","75.9","87.6","-11.699999999999989","5.1","5.8","-0.8","15","15","14.4","98","101","0","0.4416","451","444.1956","1","2.67"
"Cole Fotheringham","LV","TE","1.6","1.5","0.10000000000000009","0.8","0.8","0.1","2","1","0.87","6","6.11","0","0","0","0","0","0"
"Elijah Higgins","ARZ","TE","36.3","28.6","7.699999999999996","3.3","2.6","0.7","11","14","11.92","163","129.83","1","0.6144","0","0","0","0"
"Elijah Cooks","JAX","WR","6.8","7.3","-0.5","0.8","0.8","-0.1","9","3","2.93","38","32.12","0","0.192","0","0","0","0"
"Damien Harris","BUF","RB","19","20.6","-1.6000000000000014","3.2","3.4","-0.3","6","2","1.7","16","10.06","0","0","94","85.0452","1","1.57"
"Chigoziem Okonkwo","TEN","TE","113.4","134.9","-21.5","6.7","7.9","-1.3","17","54","54.08","528","582.94","1","3.5904","6","7.0168","0","0.05"
"David Montgomery","DET","RB","207.2","184.5","22.69999999999999","14.8","13.2","1.6","14","16","18.73","117","120.79","0","0.1344","1015","877.4948","13","10.85"
"Ian Thomas","CAR","TE","10.6","16.4","-5.799999999999999","0.9","1.4","-0.5","12","5","6.36","56","76.58","0","0.4032","0","0","0","0"
"James Proche II","CLV","WR","0","4.6","-4.6","0","1.5","-1.5","3","0","1.54","0","30.01","0","0.0096","0","0","0","0"
"Puka Nacua","LA","WR","298.5","282.9","15.600000000000023","17.6","16.6","0.9","17","105","104.25","1486","1259.79","6","7.728","89","51.2736","0","0.19"
"Jesper Horsted","LV","TE","1.4","1.5","-0.10000000000000009","0.5","0.5","0","3","1","0.86","4","6.32","0","0","0","0","0","0"
"Marquise Goodwin","CLV","WR","14","27.7","-13.7","1.2","2.3","-1.1","12","4","5.98","67","159.22","0","0.6528","33","16.2484","0","0.05"
"Jakob Johnson","LV","RB","2.2","3.2","-1","0.2","0.2","-0.1","13","1","1.67","12","14.96","0","0.0096","0","0","0","0"
"DeVante Parker","NE","WR","72.4","86.4","-14","5.6","6.6","-1.1","13","33","34.94","394","461.26","0","0.8928","0","0","0","0"
"John Bates","WAS","TE","34.1","48.7","-14.600000000000001","2","2.9","-0.9","17","19","19.75","151","201.63","0","1.4592","0","0","0","0"
"Jaxon Smith-Njigba","SEA","WR","149.8","151.3","-1.5","8.8","8.9","-0.1","17","63","65.7","628","648.49","4","3.456","0","0","0","0"
"Justyn Ross","KC","WR","11.3","17.3","-6","1.1","1.7","-0.6","10","6","7.17","53","87.76","0","0.2208","0","0","0","0"
"Jalin Hyatt","NYG","WR","60.3","72.1","-11.799999999999997","3.5","4.2","-0.7","17","23","22.09","373","425.83","0","1.2384","0","0","0","0"
"Chase Brown","CIN","RB","53.5","45","8.5","4.9","4.1","0.8","11","14","13.48","156","76.62","1","0.1536","179","197.3916","0","0.53"
"J.K. Dobbins","BLT","RB","11.7","9.8","1.8999999999999986","11.7","9.8","1.9","1","2","1.62","15","10.08","0","0.288","22","33.5552","1","0.35"
"Calvin Ridley","JAX","WR","227.9","262.5","-34.599999999999994","13.4","15.4","-2","17","76","78.3","1016","1106.46","8","11.472","23","40.3368","0","0.11"
"Dameon Pierce","HST","RB","76.7","120","-43.3","5.9","9.2","-3.3","13","13","13.94","101","100.15","0","0.2304","416","613.6968","2","5.55"
"James Mitchell","DET","TE","4.8","6.7","-1.9000000000000004","0.3","0.5","-0.1","14","2","2.25","28","19.65","0","0.4224","0","0","0","0"
"Brock Wright","DET","TE","28.1","25.9","2.200000000000003","2","1.8","0.2","14","13","11.63","91","104.66","1","0.5568","0","3.8318","0","0.02"
"Ross Dwelley","SF","TE","2.2","2.1","0.10000000000000009","0.2","0.2","0","12","1","0.85","12","5.24","0","0.1152","0","0","0","0"
"Tommy Tremble","CAR","TE","60.4","55.8","4.600000000000001","3.8","3.5","0.3","16","23","20.98","194","214.51","3","2.2272","0","0","0","0"
"Tutu Atwell","LA","WR","108.4","120.5","-12.099999999999994","6.8","7.5","-0.8","16","39","42.63","483","571.71","3","3.0336","31","22.0206","0","0.05"
"Ty Montgomery","NE","WR","9.9","17.9","-7.999999999999998","1","1.8","-0.8","10","5","7.23","40","77.21","0","0.2496","9","13.8474","0","0.01"
"DJ Moore","CHI","WR","288.5","233.3","55.19999999999999","17","13.7","3.2","17","96","83.79","1364","1085.61","8","6.4992","21","15.7976","1","0.06"
"Cole Turner","WAS","TE","23","27.3","-4.300000000000001","1.9","2.3","-0.4","12","11","10.08","120","97","0","1.2592","0","0","0","0"
"Trenton Irwin","CIN","WR","62.6","66.5","-3.8999999999999986","3.9","4.2","-0.2","16","25","22.16","316","286.47","1","2.6112","0","0","0","0"
"Colton Dowell","TEN","WR","1.3","4.4","-3.1000000000000005","0.1","0.5","-0.3","9","1","1.15","3","20.89","0","0.192","0","0","0","0"
"Tee Higgins","CIN","WR","137.6","142.5","-4.900000000000006","11.5","11.9","-0.4","12","42","45.4","656","660.85","5","5.1744","0","0","0","0"
"Foster Moreau","NO","TE","46.3","44.5","1.7999999999999972","3.1","3","0.1","15","21","19.03","193","182.82","1","1.1904","0","0","0","0"
"Travis Homer","CHI","RB","0","1.5","-1.5","0","0.5","-0.5","3","0","0.96","0","5.25","0","0.0096","0","0","0","0"
"Andrew Beck","HST","RB","34.8","38.9","-4.100000000000001","2.3","2.6","-0.3","15","11","10.42","55","73.08","2","1.9104","3","10.722","1","1.44"
"Damiere Byrd","ATL","WR","0","3.6","-3.6","0","3.6","-3.6","1","0","1.09","0","24.7","0","0","0","0","0","0"
"Jimmy Graham","NO","TE","33.9","21.9","12","2.6","1.7","0.9","13","6","4.42","39","30.46","4","2.4096","0","0","0","0"
"Deven Thompkins","TB","WR","36.9","50.1","-13.200000000000003","2.2","2.9","-0.8","17","17","17.97","83","168.73","1","2.0352","56","26.5678","0","0.07"
