"team","games","sacks","fumbleRecoveries","interceptions","defenseTouchdowns","safeties","blockedKicks","kickYards","kickTouchdowns","puntYards","puntTouchdowns","paPerGame","pa0Games","pa16Games","pa713Games","pa1420Games","pa2127Games","pa2834Games","pa3545Games","pa46plusGames","passYdsPerGame","runYdsPerGame","yaNegGames","ya099Games","ya100199Games","ya200299Games","ya300349Games","ya350399Games","ya400449Games","ya450499Games","ya500549Games","ya550plusGames","fantasyPts","fantasyPpg"
"ARZ","17","30","9","10","2","1","3","1964","0","217","0","28.7","0","0","1","3","6","1","6","0","242.8","126.9","0","0","0","3","3","7","3","0","1","0","67","3.94"
"ATL","17","57","7","16","1","0","1","1531","0","168","0","23.6","0","1","1","4","5","5","1","0","221.9","126.2","0","0","0","4","6","5","0","0","1","1","116","6.82"
"BLT","17","30","9","11","2","0","2","1911","0","198","0","23.4","1","1","1","5","3","2","4","0","259","106.6","0","0","0","2","5","6","2","1","1","0","92","5.41"
"BUF","17","36","7","13","2","0","1","1842","1","194","0","21.5","0","0","5","2","5","4","1","0","170.2","136.2","0","0","4","3","5","2","2","1","0","0","109","6.41"
"CAR","17","30","6","15","2","0","1","1304","0","176","0","22.4","1","1","1","5","6","1","2","0","215.1","123.3","0","0","0","3","8","4","2","0","0","0","102","6"
"CHI","17","35","10","23","2","0","1","1792","0","231","0","24.4","0","1","0","7","3","3","2","1","239.2","134.5","0","0","0","4","2","5","1","2","3","0","113","6.65"
"CIN","17","35","7","13","1","0","1","2058","1","220","0","28.9","0","0","0","4","5","3","3","2","245.6","147.1","0","0","0","2","2","6","4","0","2","1","69","4.06"
"CLV","17","53","7","11","4","0","2","1587","0","232","0","22.3","0","2","2","2","6","4","1","0","189.4","116.4","0","0","2","7","3","4","0","1","0","0","131","7.71"
"DAL","17","35","6","6","2","1","3","2097","0","82","0","30.1","0","0","0","1","6","6","4","0","265.9","125.5","0","0","0","1","3","6","4","1","2","0","61","3.59"
"DEN","17","68","4","10","1","0","2","1491","0","481","1","18.3","0","2","4","4","4","3","0","0","212.1","91.1","0","0","4","4","2","3","3","1","0","0","141","8.29"
"DET","17","50","6","13","0","1","0","1756","0","291","1","24.3","0","0","2","2","7","5","1","0","236.9","114.5","0","0","0","7","2","4","0","2","2","0","97","5.71"
"GB","17","36","7","7","0","0","0","1509","0","146","0","21.2","0","1","3","5","5","1","2","0","206.8","117.7","0","0","1","6","3","4","3","0","0","0","79","4.65"
"HST","17","47","10","19","4","0","3","1407","0","360","0","17.4","1","0","3","9","2","2","0","0","205.1","93.7","0","0","1","7","6","3","0","0","0","0","161","9.47"
"IND","17","39","7","14","1","0","2","1927","0","201","0","24.2","0","1","1","4","7","1","2","1","262.5","101.9","0","0","0","2","6","4","2","2","1","0","91","5.35"
"JAX","17","32","9","22","2","1","0","1591","0","364","2","19.8","0","2","3","5","2","3","2","0","231.4","85.6","0","0","1","7","2","4","1","2","0","0","140","8.24"
