"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Jahdae Walker","CHI","7","WR","10","6","0","87","0","2","0","1","60","14.2","8.7","14.5","1.5","4","2","2","40","33.3","100","3","2","30","33.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26.7","0.31","4.45"
"Isaac TeSlaa","DET","17","WR","26","16","0","239","0","6","0","0","61.5","14.77","9.19","14.94","3.44","14","8","6","53.8","50","100","11","6","42.3","37.5","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75.9","0.17","4.74"
"Isaiah Bond","CLV","16","WR","42","18","3","338","0","0","0","1","42.9","16.95","8.05","18.78","4.67","13","2","0","31","11.1","0","4","0","9.5","0","0","5","0","29","0","0","0","5.8","5.4","2","0.4","0","0","0","0","0","0","0","0","0","0","0","54.7","0.11","2.38"
"Ryan Flournoy","DAL","15","WR","53","40","3","475","2","4","1","1","75.5","9.75","8.96","11.88","5.03","13","8","4","24.5","20","100","5","2","9.4","5","50","4","0","25","0","0","0","6.25","1.75","0","0","0","0","0","0","0","0","0","0","0","0","0","114","0.24","2.59"
"Tetairoa McMillan","CAR","17","WR","120","70","3","1014","2","7","1","7","58.3","12.27","8.45","14.49","3.87","34","19","7","28.3","27.1","100","12","5","10","7.1","71.4","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","213.4","0.23","3.05"
"Luther Burden III","CHI","15","WR","60","47","2","652","2","2","1","5","78.3","7.45","10.87","13.87","7.28","8","6","2","13.3","12.8","100","1","1","1.7","2.1","50","6","0","37","0","0","0","6.17","5","4","0.67","0","0","0","0","0","0","0","0","0","0","0","127.9","0.32","2.41"
"Gage Larvadain","CLV","13","WR","13","7","0","71","0","0","0","2","53.8","9.38","5.46","10.14","4.29","2","1","0","15.4","14.3","0","1","0","7.7","0","0","1","0","3","0","0","0","3","16","2","2","0","0","0","0","0","0","0","0","0","0","1","14.4","0.08","1.8"
"Jackson Meeks","DET","2","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Ja'Corey Brooks","WAS","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Dont'e Thornton Jr.","LV","15","WR","30","10","0","135","0","0","0","2","33.3","17.9","4.5","13.5","3.8","5","1","0","16.7","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.5","0.06","2.35"
"Devontez Walker","BLT","10","WR","8","6","0","136","0","3","0","0","75","27","17","22.67","3.83","5","3","2","62.5","50","66.7","2","2","25","33.3","66.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37.6","0.23","6.27"
"Konata Mumpfield","LA","17","WR","21","10","0","92","0","1","0","0","47.6","13.14","4.38","9.2","2.6","8","4","1","38.1","40","100","1","1","4.8","10","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25.2","0.07","2.52"
"Marvin Harrison Jr.","ARZ","12","WR","72","41","2","608","0","4","0","5","56.9","13.93","8.44","14.83","2.88","21","11","4","29.2","26.8","100","13","4","18.1","9.8","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","125.8","0.22","3.07"
"Emeka Egbuka","TB","17","WR","126","63","3","938","3","6","1","8","50","13.18","7.44","14.89","5.24","30","8","5","23.8","12.7","83.3","11","2","8.7","3.2","33.3","2","0","9","0","0","0","4.5","0.5","0","0","0","0","0","0","0","0","0","0","0","1","2","193.7","0.22","2.98"
"Keon Coleman","BUF","13","WR","60","38","0","404","1","4","0","4","63.3","12.15","6.73","10.63","2.24","14","7","4","23.3","18.4","100","7","3","11.7","7.9","75","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","3","102.4","0.18","2.69"
"Tai Felton","MIN","6","WR","3","3","0","25","0","0","0","0","100","3.67","8.33","8.33","4.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.5","0.12","1.83"
"Xavier Worthy","KC","14","WR","72","42","1","532","0","1","0","2","58.3","12.47","7.39","12.67","4.93","16","5","1","22.2","11.9","100","4","0","5.6","0","0","11","0","87","0","0","0","7.91","1.09","1","0.09","0","0","0","0","0","0","0","0","0","0","0","109.9","0.17","2.07"
"Jaxon Smith-Njigba","SEA","17","WR","157","119","8","1793","9","10","3","3","75.8","11.71","11.42","15.07","4.45","33","22","10","21","18.5","100","12","5","7.6","4.2","50","7","0","36","0","0","0","5.14","3.43","2","0.29","3","0","0","0","0","0","0","0","0","0","0","361.9","0.44","2.87"
"Kyle Williams","NE","17","WR","21","10","1","209","0","3","1","1","47.6","18.67","9.95","20.9","7.8","3","2","2","14.3","20","66.7","2","2","9.5","20","66.7","2","0","3","0","0","0","1.5","4.5","0","0","0","0","0","0","0","0","0","0","0","0","0","49.2","0.15","4.1"
"Tory Horton","SEA","8","WR","22","13","0","161","0","5","0","0","59.1","16.55","7.32","12.38","2.15","9","6","5","40.9","46.2","100","6","4","27.3","30.8","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59.1","0.26","4.55"
"Jalin Hyatt","NYG","7","WR","14","5","0","35","0","0","0","1","35.7","20","2.5","7","0.4","4","0","0","28.6","0","0","1","0","7.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.5","0.05","1.7"
"Malik Heath","ATL","11","WR","7","6","0","86","0","0","0","1","85.7","9.29","12.29","14.33","4.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.6","0.07","2.43"
"Kayshon Boutte","NE","14","WR","46","33","0","551","1","6","0","1","71.7","17.46","11.98","16.7","1.21","13","7","6","28.3","21.2","100","8","5","17.4","15.2","83.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","124.1","0.2","3.76"
"Quentin Johnston","LAC","14","WR","78","51","3","735","1","8","1","4","65.4","12.97","9.42","14.41","4.37","23","16","8","29.5","31.4","100","9","4","11.5","7.8","50","2","0","7","0","0","0","3.5","0.5","0","0","1","0","0","0","0","0","0","0","0","0","0","173.2","0.24","3.27"
"Jordan Addison","MIN","14","WR","74","42","2","610","2","3","0","7","56.8","14.47","8.24","14.52","3.21","25","15","3","33.8","35.7","100","9","2","12.2","4.8","66.7","2","1","81","0","1","1","40.5","6.5","0","0","0","0","0","0","0","0","0","0","0","0","0","135.1","0.19","3.07"
"Marvin Mims Jr.","DEN","15","WR","51","37","0","322","0","1","0","1","72.5","9.65","6.31","8.7","6.14","10","2","1","19.6","5.4","100","2","1","3.9","2.7","100","12","0","78","0","1","0","6.5","2.92","3","0.25","1","2","1","16.7","100","0","0","0","0","0","0","89","0.24","1.82"
"Jalen Brooks","ARZ","6","WR","6","3","0","51","0","0","0","1","50","10.83","8.5","17","6","1","1","0","16.7","33.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.1","0.07","2.7"
"Mason Tipton","NO","13","WR","17","11","0","76","0","0","0","0","64.7","8.82","4.47","6.91","3.64","2","1","0","11.8","9.1","0","1","0","5.9","0","0","4","0","18","0","0","0","4.5","4","0","0","1","0","0","0","0","0","0","0","0","0","0","20.4","0.07","1.36"
"Wan'Dale Robinson","NYG","16","WR","131","92","2","1014","3","4","0","3","70.2","9.05","7.74","11.02","4.26","22","9","3","16.8","9.8","75","8","3","6.1","3.3","75","3","0","5","0","0","0","1.67","2","0","0","1","0","0","0","0","0","0","0","0","0","1","217.9","0.22","2.29"
"Casey Washington","ATL","7","WR","13","6","0","94","0","0","0","1","46.2","18.23","7.23","15.67","2","2","0","0","15.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15.4","0.09","2.57"
"Jameson Williams","DET","17","WR","97","65","5","1117","4","7","2","9","67","12.71","11.52","17.18","6.88","27","12","5","27.8","18.5","71.4","3","1","3.1","1.5","14.3","6","0","12","0","0","0","2","4.17","4","0.67","0","1","0","16.7","0","0","0","0","0","0","0","219.9","0.22","3.1"
"Xavier Weaver","ARZ","9","WR","12","7","0","67","0","0","0","1","58.3","16","5.58","9.57","3","5","2","0","41.7","28.6","0","1","0","8.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.7","0.05","1.96"
"Devaughn Vele","NO","13","WR","36","25","0","293","0","2","0","0","69.4","12.56","8.14","11.72","1.28","8","6","2","22.2","24","100","4","2","11.1","8","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","66.3","0.15","2.65"
"George Pickens","DAL","17","WR","131","93","4","1429","5","9","1","5","71","11.99","10.91","15.37","5.14","42","23","7","32.1","24.7","77.8","17","6","13","6.5","66.7","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","1","1","289.9","0.3","3.12"
"Treylon Burks","WAS","8","WR","22","10","0","130","0","1","0","0","45.5","14.23","5.91","13","3.6","7","2","1","31.8","20","100","4","1","18.2","10","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","0.1","2.9"
"Xavier Legette","CAR","15","WR","59","35","0","363","0","3","0","1","59.3","11.02","6.15","10.37","2.11","14","7","3","23.7","20","100","8","3","13.6","8.6","100","1","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","89.3","0.14","2.48"
"Jonathan Mingo","DAL","6","WR","4","1","0","25","0","0","0","1","25","14.25","6.25","25","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.5","0.04","3.5"
"Garrett Wilson","NYJ","7","WR","54","36","0","395","0","4","0","3","66.7","9.81","7.31","10.97","2.72","9","6","4","16.7","16.7","100","1","1","1.9","2.8","25","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","99.5","0.26","2.76"
"Gunner Olszewski","NYG","10","WR","13","10","0","145","1","1","0","0","76.9","11.15","11.15","14.5","7.4","4","1","1","30.8","10","100","3","1","23.1","10","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30.5","0.26","3.05"
"Cedric Tillman","CLV","13","WR","39","21","1","270","0","2","0","1","53.8","11.92","6.92","12.86","2.9","9","5","2","23.1","23.8","100","4","2","10.3","9.5","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","0.12","2.86"
"Romeo Doubs","GB","16","WR","83","55","2","724","0","6","0","3","66.3","13.19","8.72","13.16","3","26","17","6","31.3","30.9","100","10","5","12","9.1","83.3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","163.4","0.21","2.97"
"Elijah Moore","BUF","9","WR","17","9","0","112","0","0","0","1","52.9","8.41","6.59","12.44","6.33","2","1","0","11.8","11.1","0","0","0","0","0","0","6","0","24","0","1","0","4","2.17","2","0.33","0","1","1","16.7","100","1","1","16.7","100","0","0","28.6","0.15","1.91"
"Ja'Marr Chase","CIN","16","WR","182","125","2","1412","7","8","1","6","68.7","8.87","7.76","11.3","5.18","35","17","7","19.2","13.6","87.5","9","4","4.9","3.2","50","3","0","14","0","0","0","4.67","1.33","0","0","1","0","0","0","0","0","0","0","0","0","0","315.6","0.32","2.47"
"Jaylen Waddle","MIA","16","WR","99","64","3","910","1","6","2","3","64.6","13.19","9.19","14.22","3.61","22","13","5","22.2","20.3","83.3","8","4","8.1","6.3","66.7","2","0","28","0","0","0","14","1.5","0","0","1","0","0","0","0","0","0","0","0","0","0","193.8","0.27","2.94"
"Derius Davis","LAC","10","WR","3","2","0","10","0","0","0","0","66.7","10.67","3.33","5","4","1","0","0","33.3","0","0","0","0","0","0","0","2","0","5","0","0","0","2.5","3.5","2","1","0","0","0","0","0","0","0","0","0","0","0","3.5","0.04","0.88"
