iter	MultiRMSE
0	37.26318364
1	37.1554675
2	37.03201184
3	36.92003707
4	36.81232088
5	36.69765362
6	36.59366817
7	36.48639031
8	36.38380139
9	36.26936531
10	36.16685924
11	36.06155534
12	35.97495952
13	35.87371688
14	35.77520826
15	35.67442752
16	35.58523797
17	35.48728372
18	35.38509482
19	35.31165815
20	35.21144399
21	35.11295741
22	35.02163574
23	34.93865248
24	34.85051737
25	34.76534191
26	34.67761779
27	34.60141095
28	34.5208024
29	34.42323666
30	34.34717014
31	34.26473821
32	34.18434195
33	34.10173067
34	34.01951873
35	33.92971684
36	33.85892433
37	33.78258881
38	33.71224497
39	33.64148899
40	33.56809785
41	33.48691969
42	33.41141567
43	33.34344979
44	33.27684442
45	33.21116004
46	33.1389348
47	33.06518319
48	32.99054545
49	32.92256791
50	32.86020312
51	32.79064302
52	32.72397872
53	32.65703928
54	32.58812909
55	32.52463586
56	32.46050367
57	32.4019299
58	32.3418124
59	32.28116086
60	32.21394854
61	32.14752523
62	32.09323059
63	32.04460632
64	31.98134722
65	31.91568727
66	31.8568027
67	31.79888612
68	31.73787613
69	31.68567066
70	31.6286451
71	31.56585663
72	31.50985481
73	31.45829661
74	31.40780269
75	31.36038247
76	31.30252323
77	31.25094481
78	31.21724803
79	31.17123403
80	31.11871168
81	31.05484822
82	30.9964351
83	30.95744223
84	30.90324434
85	30.85705381
86	30.80637445
87	30.7538748
88	30.71183823
89	30.66948719
90	30.63029612
91	30.58734042
92	30.54614733
93	30.49985101
94	30.45270621
95	30.41244563
96	30.36916121
97	30.33205772
98	30.28518426
99	30.24635343
100	30.19938599
101	30.15249729
102	30.11073378
103	30.06973538
104	30.03223174
105	30.00154732
106	29.95529648
107	29.91330568
108	29.87277984
109	29.83992671
110	29.80108551
111	29.76434984
112	29.72849935
113	29.69529375
114	29.65662055
115	29.61631686
116	29.58174578
117	29.53562765
118	29.50829198
119	29.47490825
120	29.44605856
121	29.40436453
122	29.37751208
123	29.33419645
124	29.29798712
125	29.26798029
126	29.2261347
127	29.19668237
128	29.16379168
129	29.13545116
130	29.10030898
131	29.06989239
132	29.03474086
133	28.99912676
134	28.96909451
135	28.95097088
136	28.91961174
137	28.88674513
138	28.86099751
139	28.83866388
140	28.81345297
141	28.78296712
142	28.75079199
143	28.71652603
144	28.68981786
145	28.66292577
146	28.63067129
147	28.61359774
148	28.58945079
149	28.55330344
150	28.52071617
151	28.49518511
152	28.46995841
153	28.446856
154	28.42650528
155	28.39639108
156	28.36964278
157	28.35366463
158	28.32404877
159	28.30101531
160	28.27130384
161	28.25301186
162	28.2317815
163	28.20152423
164	28.17278196
165	28.14967773
166	28.12448907
167	28.10290047
168	28.0800672
169	28.05239527
170	28.02327838
171	27.99920546
172	27.97592078
173	27.95402676
174	27.93103761
175	27.91225646
176	27.88878616
177	27.86872259
178	27.84410475
179	27.81998151
180	27.79725106
181	27.77701475
182	27.75649967
183	27.73316972
184	27.70777503
185	27.68777235
186	27.66722854
187	27.64926202
188	27.62831137
189	27.60374193
190	27.57539071
191	27.56353109
192	27.5425062
193	27.5239689
194	27.50758613
195	27.49038572
196	27.46127229
197	27.43483694
198	27.41773011
199	27.39716238
200	27.37372519
201	27.35648101
202	27.33331042
203	27.31409355
204	27.28416629
205	27.26467442
206	27.25336069
207	27.23963593
208	27.21771072
209	27.19674818
210	27.17405167
211	27.15897763
212	27.13969584
213	27.12105983
214	27.10336044
215	27.08964775
216	27.06365856
217	27.04605898
218	27.02429633
219	27.00775109
220	26.98385587
221	26.96707782
222	26.94755592
223	26.93990019
224	26.92068251
225	26.89964586
226	26.88214879
227	26.86829631
228	26.85439186
