iter	Passed	Remaining
0	58	58654
1	59	29820
2	60	20189
3	61	15364
4	62	12496
5	63	10568
6	64	9190
7	65	8153
8	66	7358
9	67	6710
10	68	6184
11	69	5736
12	70	5361
13	71	5037
14	72	4756
15	73	4517
16	74	4303
17	75	4107
18	76	3938
19	77	3782
20	78	3640
21	79	3512
22	79	3394
23	80	3284
24	81	3185
25	82	3091
26	83	3001
27	84	2923
28	85	2850
29	86	2783
30	87	2722
31	87	2661
32	88	2605
33	89	2555
34	90	2507
35	91	2461
36	92	2417
37	93	2376
38	94	2338
39	95	2303
40	96	2265
41	97	2231
42	99	2203
43	99	2171
44	101	2144
45	102	2115
46	103	2090
47	104	2064
48	105	2040
49	106	2016
50	107	1992
51	108	1969
52	109	1948
53	109	1926
54	110	1906
55	111	1887
56	112	1867
57	113	1850
58	115	1834
59	116	1817
60	117	1801
61	118	1786
62	119	1772
63	120	1760
64	121	1748
65	122	1735
66	123	1721
67	124	1707
68	125	1695
69	126	1682
70	127	1669
71	128	1656
72	129	1643
73	130	1633
74	131	1621
75	132	1610
76	133	1599
77	134	1589
78	135	1578
79	136	1571
80	137	1561
81	138	1552
82	139	1544
83	140	1537
84	142	1528
85	143	1521
86	144	1513
87	145	1506
88	146	1499
89	147	1492
90	148	1486
91	149	1480
92	151	1472
93	152	1467
94	153	1461
95	154	1455
96	155	1450
97	156	1442
98	157	1436
99	158	1428
100	159	1421
101	160	1415
102	161	1409
103	162	1402
104	163	1396
105	164	1390
106	165	1384
107	166	1378
108	168	1373
109	169	1367
110	170	1362
111	171	1356
112	172	1350
113	173	1345
114	174	1340
115	175	1335
116	176	1329
117	177	1324
118	178	1319
119	179	1313
120	180	1308
121	181	1303
122	182	1299
123	183	1293
124	184	1288
125	185	1284
126	186	1279
127	187	1274
128	188	1270
129	189	1266
130	190	1261
131	191	1257
132	192	1253
133	193	1248
134	194	1244
135	195	1240
136	196	1236
137	197	1233
138	198	1229
139	199	1225
140	200	1221
141	201	1216
142	202	1212
143	203	1208
144	204	1204
145	205	1200
146	206	1196
147	207	1192
148	208	1189
149	209	1185
150	210	1181
151	211	1178
152	212	1174
153	213	1171
154	214	1167
155	215	1163
156	216	1160
157	217	1156
158	217	1152
159	218	1149
160	219	1146
161	221	1143
162	222	1140
163	223	1137
164	224	1134
165	225	1131
166	226	1128
167	227	1124
168	228	1121
169	229	1118
170	230	1115
171	230	1111
172	231	1108
173	232	1105
174	233	1103
175	234	1100
176	236	1098
177	237	1094
178	238	1091
179	239	1089
180	240	1086
181	241	1084
182	242	1081
183	243	1078
184	244	1075
185	245	1073
186	246	1070
187	247	1068
188	248	1065
189	249	1063
190	250	1060
191	251	1057
192	252	1055
193	253	1052
194	254	1050
195	255	1048
196	256	1045
197	257	1043
198	258	1040
199	259	1037
200	260	1035
201	261	1033
202	262	1030
203	263	1028
204	264	1026
205	265	1024
206	266	1022
207	268	1020
208	269	1018
209	270	1016
210	271	1013
211	272	1011
212	273	1010
213	274	1009
214	275	1007
215	276	1005
216	278	1003
217	279	1001
218	280	999
219	281	996
220	282	994
221	283	992
222	284	990
223	285	987
224	286	985
225	287	983
226	288	980
227	289	978
228	290	977
229	291	974
230	292	972
231	293	970
232	294	968
233	295	966
234	296	964
235	297	962
236	298	960
237	299	958
238	300	956
239	301	954
240	302	952
241	303	950
242	304	948
243	305	946
244	306	944
245	307	942
246	308	940
247	309	937
248	310	935
249	311	933
250	312	931
251	313	929
252	314	927
253	315	925
254	316	923
255	317	922
256	318	920
257	319	918
258	320	916
259	321	914
260	322	913
261	323	911
262	324	909
263	325	907
264	326	905
265	327	903
266	328	901
267	329	899
268	330	898
269	331	896
270	332	894
271	333	892
272	334	890
273	335	888
274	336	886
275	337	884
276	338	882
277	339	881
278	340	880
279	341	878
280	342	876
281	343	874
282	344	872
283	345	870
284	346	869
285	347	867
286	348	865
287	349	864
288	350	862
289	351	861
290	352	859
291	353	857
292	354	856
293	355	854
294	356	852
295	358	851
296	359	849
297	360	848
298	361	846
299	362	844
300	363	843
301	364	841
302	365	839
303	366	838
304	367	836
305	368	836
306	370	835
307	371	833
308	372	833
309	373	831
310	374	829
311	375	828
312	376	826
313	377	824
314	378	823
315	379	821
316	380	820
317	381	818
318	382	817
319	383	815
320	384	813
321	385	812
322	386	810
323	387	808
324	388	807
325	389	805
326	390	804
327	391	802
328	392	801
329	393	799
330	394	797
331	395	796
332	396	794
333	397	792
334	398	791
335	399	789
336	400	788
337	401	786
338	402	784
339	403	783
340	404	781
341	405	780
342	406	778
343	407	777
344	408	775
345	409	774
346	410	772
347	411	771
348	412	769
349	413	768
350	414	766
351	415	765
352	416	763
353	417	762
354	418	760
355	419	758
356	420	757
357	421	755
358	422	754
359	423	753
360	424	751
361	425	749
362	426	748
363	427	747
364	428	745
365	429	744
366	430	742
367	431	741
368	432	739
369	433	738
370	434	736
371	435	735
372	436	733
373	437	732
374	438	731
375	439	729
376	440	728
377	441	726
378	442	725
379	443	724
380	444	722
381	445	721
382	446	719
383	447	718
384	448	717
385	450	715
386	451	714
387	452	713
388	453	711
389	454	710
390	455	709
391	456	707
392	457	706
393	458	704
394	459	703
395	460	701
396	461	700
397	461	698
398	463	697
399	464	696
400	465	694
401	466	693
402	467	692
403	468	690
404	469	689
405	470	687
406	471	686
407	471	684
408	472	683
409	474	682
410	475	680
411	475	679
412	476	677
413	477	676
414	478	675
415	479	673
416	480	672
417	481	670
418	482	669
419	483	668
420	484	666
421	485	665
422	486	664
423	487	662
424	488	661
425	490	660
426	491	659
427	492	658
428	493	657
429	494	655
430	495	654
431	496	653
432	497	651
433	498	650
434	499	648
435	500	647
436	501	646
437	502	644
438	503	643
439	504	642
440	505	641
441	506	639
442	507	638
443	508	636
444	509	635
445	510	634
446	511	633
447	512	631
448	513	630
449	514	628
450	515	627
451	516	626
452	517	625
453	518	623
454	519	622
455	520	621
456	521	619
457	522	618
458	523	617
459	524	615
460	525	614
461	526	613
462	527	612
463	528	610
464	529	609
465	530	608
466	531	607
467	532	605
468	533	604
469	534	603
470	535	601
471	536	600
472	538	599
473	539	598
474	540	597
475	541	595
476	542	594
477	543	593
478	544	592
479	545	590
480	546	589
481	547	588
482	548	587
483	549	586
484	550	584
485	551	583
486	552	582
487	553	581
488	554	579
489	555	578
490	556	577
491	557	576
492	558	574
493	559	573
494	560	572
495	561	570
496	562	569
497	563	568
498	564	567
499	565	565
500	566	564
501	567	563
502	568	562
503	569	560
504	570	559
505	571	558
506	572	556
507	573	555
508	574	554
509	575	553
510	576	551
511	578	550
512	579	549
513	580	549
514	581	548
515	583	546
516	584	545
517	585	544
518	586	543
519	587	542
520	589	541
521	590	540
522	591	539
523	592	538
524	594	537
525	595	536
526	596	535
527	597	533
528	598	532
529	599	531
530	600	530
531	601	528
532	602	527
533	603	526
534	604	525
535	605	524
536	607	523
537	607	522
538	608	520
539	609	519
540	610	518
541	611	517
542	612	515
543	613	514
544	614	513
545	616	512
546	617	511
547	618	509
548	619	508
549	620	507
550	620	506
551	622	504
552	623	503
553	624	502
554	625	501
555	626	499
556	627	498
557	628	497
558	629	496
559	630	495
560	631	494
561	632	492
562	633	491
563	634	490
564	636	489
565	637	488
566	638	487
567	639	486
568	640	485
569	641	483
570	642	482
571	643	481
572	644	480
573	645	479
574	647	478
575	648	477
576	649	475
577	650	474
578	651	473
579	652	472
580	653	471
581	654	470
582	655	468
583	656	467
584	657	466
585	658	465
586	659	464
587	660	463
588	661	461
589	662	460
590	664	459
591	665	458
592	666	457
593	667	456
594	668	454
595	669	453
596	670	452
597	671	451
598	672	450
599	673	448
600	674	447
601	675	446
602	676	445
603	677	444
604	678	443
605	679	441
606	680	440
607	681	439
608	682	438
609	683	436
610	684	435
611	685	434
612	686	433
613	687	432
614	688	431
615	689	429
616	690	428
617	691	427
618	692	426
619	693	425
620	694	424
621	695	422
622	696	421
623	697	420
624	698	419
625	699	418
626	700	416
627	701	415
628	702	414
629	703	413
630	704	412
631	705	410
632	706	409
633	707	408
634	708	407
635	709	406
636	710	404
637	711	403
638	712	402
639	713	401
640	714	400
641	715	399
642	716	397
643	717	396
644	718	395
645	719	394
646	720	393
647	721	391
648	722	390
649	723	389
650	724	388
651	725	387
652	726	386
653	727	385
654	728	383
655	729	382
656	730	381
657	731	380
658	732	379
659	733	378
660	734	376
661	735	375
662	736	374
663	737	373
664	738	372
665	739	371
666	740	369
667	741	368
668	742	367
669	743	366
670	744	365
671	745	364
672	746	362
673	747	361
674	748	360
675	749	359
676	750	358
677	751	357
678	752	355
679	753	354
680	754	353
681	755	352
682	756	351
683	757	350
684	758	348
685	759	347
686	761	346
687	762	345
688	762	344
689	764	343
690	765	342
691	766	340
692	767	339
693	768	338
694	769	337
695	770	336
696	771	335
697	772	334
698	773	332
699	774	331
700	775	330
701	776	329
702	777	328
703	778	327
704	779	326
705	780	324
706	781	323
707	782	322
708	783	321
709	783	320
710	784	319
711	785	317
712	786	316
713	787	315
714	789	314
715	790	313
716	791	312
717	792	311
718	793	310
719	794	308
720	795	307
721	796	306
722	797	305
723	798	304
724	799	303
725	800	302
726	802	301
727	803	300
728	804	299
729	805	297
730	806	296
731	807	295
732	808	294
733	809	293
734	810	292
735	811	291
736	812	289
737	813	288
738	814	287
739	815	286
740	816	285
741	817	284
742	818	283
743	819	282
744	821	281
745	821	279
746	823	278
747	824	277
748	825	276
749	826	275
750	827	274
751	827	273
752	828	271
753	829	270
754	830	269
755	831	268
756	832	267
757	833	266
758	834	265
759	835	263
760	836	262
761	837	261
762	838	260
763	839	259
764	840	258
765	841	257
766	842	255
767	843	254
768	844	253
769	845	252
770	846	251
771	847	250
772	848	249
773	849	248
774	850	246
775	851	245
776	852	244
777	853	243
778	854	242
779	855	241
780	856	240
781	857	239
782	858	237
783	859	236
784	860	235
785	861	234
786	862	233
787	863	232
788	864	231
789	865	230
790	866	228
791	867	227
792	868	226
793	869	225
794	870	224
795	871	223
796	872	222
797	873	221
798	874	219
799	875	218
800	876	217
801	877	216
802	878	215
803	879	214
804	880	213
805	881	212
806	882	210
807	883	209
808	884	208
809	884	207
810	885	206
811	886	205
812	887	204
813	888	203
814	889	201
815	890	200
816	891	199
817	892	198
818	893	197
819	894	196
820	895	195
821	896	194
822	897	193
823	898	191
824	899	190
825	901	189
826	902	188
827	903	187
828	904	186
829	905	185
830	906	184
831	907	183
832	908	182
833	909	180
834	910	179
835	911	178
836	912	177
837	913	176
838	914	175
839	915	174
840	916	173
841	917	172
842	918	171
843	919	169
844	920	168
845	921	167
846	922	166
847	923	165
848	924	164
849	925	163
850	926	162
851	927	161
852	928	160
853	929	158
854	930	157
855	931	156
856	932	155
857	933	154
858	934	153
859	935	152
860	936	151
861	937	150
862	938	149
863	939	147
864	940	146
865	941	145
866	942	144
867	943	143
868	944	142
869	945	141
870	946	140
871	947	139
872	948	138
873	949	136
874	950	135
875	951	134
876	952	133
877	953	132
878	954	131
879	955	130
880	956	129
881	957	128
882	958	127
883	959	125
884	960	124
885	961	123
886	962	122
887	963	121
888	964	120
889	965	119
890	966	118
891	967	117
892	968	116
893	969	114
894	970	113
895	971	112
896	972	111
897	973	110
898	974	109
899	975	108
900	976	107
901	977	106
902	978	105
903	979	104
904	981	102
905	982	101
906	983	100
907	984	99
908	985	98
909	986	97
910	987	96
911	989	95
912	990	94
913	991	93
914	992	92
915	993	91
916	995	90
917	996	88
918	997	87
919	998	86
920	999	85
921	1000	84
922	1001	83
923	1002	82
924	1003	81
925	1004	80
926	1006	79
927	1007	78
928	1008	77
929	1009	75
930	1010	74
931	1011	73
932	1012	72
933	1013	71
934	1014	70
935	1015	69
936	1016	68
937	1017	67
938	1018	66
939	1020	65
940	1021	64
941	1022	62
942	1023	61
943	1024	60
944	1025	59
945	1026	58
946	1027	57
947	1028	56
948	1029	55
949	1030	54
950	1031	53
951	1032	52
952	1033	50
953	1034	49
954	1035	48
955	1036	47
956	1037	46
957	1038	45
958	1039	44
959	1040	43
960	1041	42
961	1042	41
962	1043	40
963	1044	39
964	1045	37
965	1046	36
966	1047	35
967	1048	34
968	1049	33
969	1050	32
970	1051	31
971	1052	30
972	1053	29
973	1054	28
974	1055	27
975	1056	25
976	1057	24
977	1058	23
978	1059	22
979	1060	21
980	1061	20
981	1062	19
982	1063	18
983	1064	17
984	1065	16
985	1066	15
986	1067	14
987	1068	12
988	1069	11
989	1070	10
990	1071	9
991	1072	8
992	1073	7
993	1074	6
994	1075	5
995	1077	4
996	1078	3
997	1078	2
998	1080	1
999	1081	0
