season,sleeper_id,player,position,team,injury_probability,injuries_per_season,injury_probability_per_game,projected_games_missed,durability,updated_at
2026,4984,Josh Allen,QB,BUF,0.33,1.1,0.02,2.0,5.0,2026 copied table
2026,9493,Puka Nacua,WR,LAR,0.51,2,0.04,2.2,4.1,2026 copied table
2026,9221,Jahmyr Gibbs,RB,DET,0.54,0.7,0.04,1.5,5.0,2026 copied table
2026,9509,Bijan Robinson,RB,ATL,0.25,0,0.02,0.5,5.0,2026 copied table
2026,11564,Drake Maye,QB,NE,0.35,1.5,0.03,2.5,5.0,2026 copied table
2026,4881,Lamar Jackson,QB,BAL,0.42,0.8,0.03,2.5,5.0,2026 copied table
2026,7564,Ja'Marr Chase,WR,CIN,0.37,0.6,0.03,0.7,5.0,2026 copied table
2026,6770,Joe Burrow,QB,CIN,0.34,1.7,0.02,2.3,4.5,2026 copied table
2026,11566,Jayden Daniels,QB,WAS,0.41,2.5,0.03,1.2,2.8,2026 copied table
2026,6904,Jalen Hurts,QB,PHI,0.33,0.7,0.02,1.4,5.0,2026 copied table
2026,4034,Christian McCaffrey,RB,SF,0.78,1.1,0.09,2.1,3.2,2026 copied table
2026,7523,Trevor Lawrence,QB,JAC,0.34,1.8,0.02,2.5,5.0,2026 copied table
2026,8183,Brock Purdy,QB,SF,0.36,1.6,0.03,2.7,5.0,2026 copied table
2026,6797,Justin Herbert,QB,LAC,0.36,1.5,0.03,2.5,5.0,2026 copied table
2026,5849,Kyler Murray,QB,MIN,0.33,1,0.02,2.5,3.1,2026 copied table
2026,3294,Dak Prescott,QB,DAL,0.34,0.7,0.02,2.0,5.0,2026 copied table
2026,11560,Caleb Williams,QB,CHI,0.2,0.5,0.01,1.0,5.0,2026 copied table
2026,12508,Jaxson Dart,QB,NYG,0.36,1,0.03,1.1,2.2,2026 copied table
2026,7547,Amon-Ra St. Brown,WR,DET,0.37,0.8,0.03,0.9,5.0,2026 copied table
2026,9488,Jaxon Smith-Njigba,WR,SEA,0.39,0.3,0.03,1.3,5.0,2026 copied table
2026,11563,Bo Nix,QB,DEN,0.28,1,0.02,1.5,5.0,2026 copied table
2026,4046,Patrick Mahomes,QB,KC,0.37,1,0.03,3.0,5.0,2026 copied table
2026,3163,Jared Goff,QB,DET,0.23,0.4,0.02,0.8,5.0,2026 copied table
2026,6786,CeeDee Lamb,WR,DAL,0.44,1.3,0.03,2.3,5.0,2026 copied table
2026,6813,Jonathan Taylor,RB,IND,0.37,1,0.03,0.4,5.0,2026 copied table
2026,421,Matthew Stafford,QB,LAR,0.39,1.4,0.03,2.6,5.0,2026 copied table
2026,12545,Tyler Shough,QB,NO,0.17,0,0.01,0.5,5.0,2026 copied table
2026,6804,Jordan Love,QB,GB,0.82,1,0.1,2.4,5.0,2026 copied table
2026,8138,James Cook,RB,BUF,0.36,0.2,0.03,1.0,5.0,2026 copied table
2026,12527,Ashton Jeanty,RB,LVR,0.39,1,0.03,1.1,5.0,2026 copied table
2026,4892,Baker Mayfield,QB,TB,0.37,0.9,0.03,2.5,5.0,2026 copied table
2026,6794,Justin Jefferson,WR,MIN,0.36,1.2,0.03,0.5,5.0,2026 copied table
2026,10229,Rashee Rice,WR,KC,0.74,1,0.08,2.2,3.8,2026 copied table
2026,5859,A.J. Brown,WR,NE,0.61,1.4,0.05,2.6,5.0,2026 copied table
2026,9758,C.J. Stroud,QB,HOU,0.29,1,0.02,1.2,5.0,2026 copied table
2026,5870,Daniel Jones,QB,IND,0.36,1.6,0.03,2.4,3.5,2026 copied table
2026,8112,Drake London,WR,ATL,0.73,1.4,0.07,2.6,5.0,2026 copied table
2026,7569,Nico Collins,WR,HOU,0.49,1.6,0.04,1.3,4.0,2026 copied table
2026,8161,Malik Willis,QB,MIA,0.15,0.2,0.01,0.7,5.0,2026 copied table
2026,9226,De'Von Achane,RB,MIA,0.68,2,0.06,0.8,5.0,2026 copied table
