season,team,team_name,di_grade,edge_grade,lb_grade,cb_grade,s_grade,defense_grade,defense_rank,bye_week,games,pff_dst_rank,pff_fantasy_points,pff_sacks,pff_safeties,pff_interceptions,pff_fumbles_forced,pff_fumbles_recovered,pff_defensive_tds,pff_return_yards,pff_return_tds,pff_points_allowed_0,pff_points_allowed_1_6,pff_points_allowed_7_13,pff_points_allowed_14_20,pff_points_allowed_21_27,pff_points_allowed_28_34,pff_points_allowed_35_plus
2026,LAR,Los Angeles Rams,6,7,5,8,6,3.2,1,11,17,1,118.1,48.3837,0.3853,12.431,16.2024,8.0401,1.7555,1706.8301,0.6288,0.2495,0.6193,2.5702,4.7764,4.3483,2.9712,1.4651
2026,HOU,Houston Texans,5,7,6,8,5,3.1,2,8,17,2,118,48.9568,0.3848,12.2136,16.2281,8.0442,1.7364,1509.9055,0.5772,0.2518,0.6321,2.5731,4.7613,4.3346,2.9868,1.4603
2026,GB,Green Bay Packers,5,5,5,5,7,2.6,15,11,17,3,117.8,48.515,0.3879,12.0308,16.334,8.089,1.7219,1653.3253,0.6127,0.2495,0.6451,2.6121,4.7476,4.3221,3.0009,1.4226
2026,PHI,Philadelphia Eagles,7,6,8,7,3,3.0,5,10,17,4,117.2,46.8124,0.3867,12.5501,16.0044,7.9298,1.7573,1659.2949,0.6151,0.2507,0.6186,2.6666,4.7706,4.343,2.957,1.3935
2026,CIN,Cincinnati Bengals,6,5,4,5,5,2.4,25,6,17,5,115.6,46.6398,0.384,12.0068,16.04,7.9251,1.7036,1695.2424,0.62,0.2475,0.6439,2.6596,4.7376,4.313,2.9603,1.4381
2026,DET,Detroit Lions,5,6,8,5,7,2.8,8,6,17,6,115.3,46.0165,0.3847,12.0523,15.9378,7.882,1.7043,1725.2285,0.6314,0.248,0.6268,2.7632,4.7182,4.2953,2.9022,1.4462
2026,BUF,Buffalo Bills,5,6,3,5,5,2.4,26,7,17,7,114.1,45.7549,0.3837,11.9881,15.8906,7.8681,1.6964,1733.2233,0.6359,0.2493,0.6446,2.5888,4.743,4.3179,2.9671,1.4893
2026,PIT,Pittsburgh Steelers,7,8,4,7,5,3.1,3,9,17,8,113.9,44.7371,0.3873,12.2534,15.8948,7.854,1.7192,1546.3139,0.5817,0.2473,0.6582,2.6354,4.7343,4.31,2.9936,1.4213
2026,NE,New England Patriots,6,5,6,7,7,2.9,7,11,17,9,112.8,43.5244,0.3835,12.0201,15.6691,7.753,1.6884,1600.136,0.6007,0.249,0.6548,2.7776,4.7068,4.285,2.9655,1.3612
2026,DEN,Denver Broncos,6,5,5,6,6,2.8,9,10,17,10,112.5,43.3125,0.3851,12.2993,15.6291,7.7423,1.7141,1552.2779,0.588,0.2492,0.6444,2.667,4.7418,4.3168,2.9592,1.4215
2026,SEA,Seattle Seahawks,7,5,5,7,7,2.9,6,11,17,11,112,42.1902,0.3873,12.3867,15.5037,7.6813,1.715,1614.7251,0.6051,0.2466,0.6125,2.8075,4.7215,4.2984,2.9324,1.381
2026,SF,San Francisco 49ers,4,6,7,5,4,2.5,20,8,17,12,111.4,43.1934,0.3855,12.2006,15.6265,7.7354,1.7042,1654.4185,0.6126,0.2476,0.6003,2.6207,4.7304,4.3162,2.9985,1.4862
2026,KC,Kansas City Chiefs,5,5,7,5,6,2.6,13,5,17,13,111.4,42.213,0.3856,12.3157,15.5307,7.6873,1.7105,1605.8935,0.5997,0.2496,0.6454,2.6602,4.7493,4.3236,2.9668,1.4051
2026,DAL,Dallas Cowboys,6,5,4,5,6,2.6,16,14,17,14,111.4,44.3763,0.3862,12.1613,15.8689,7.8325,1.7074,1644.2535,0.6048,0.2502,0.6063,2.3583,4.7898,4.3605,3.0838,1.5511
2026,JAX,Jacksonville Jaguars,4,6,6,5,5,2.5,22,7,17,15,111.3,42.2201,0.3863,12.2128,15.527,7.6698,1.6977,1621.7022,0.6055,0.2533,0.6319,2.6874,4.7608,4.3341,2.9596,1.3729
2026,CLE,Cleveland Browns,5,6,7,4,6,2.7,11,11,17,16,110.8,43.6353,0.3865,11.7888,15.8184,7.8,1.6715,1384.5901,0.529,0.2477,0.6297,2.6154,4.7418,4.3168,2.9925,1.4562
2026,BAL,Baltimore Ravens,7,5,5,5,9,3.0,4,13,17,17,110.5,40.2885,0.3854,12.8054,15.1598,7.5186,1.7437,1705.3478,0.6271,0.2499,0.657,2.6638,4.7245,4.3011,2.9877,1.416
2026,NYG,New York Giants,4,8,5,4,5,2.5,19,8,17,18,109.2,41.9035,0.3887,12.1007,15.6946,7.7414,1.6918,1534.0065,0.5702,0.2469,0.628,2.5296,4.7277,4.304,3.0112,1.5524
2026,IND,Indianapolis Colts,5,5,3,6,5,2.5,24,13,17,19,108.6,40.553,0.386,12.0691,15.3807,7.5902,1.6755,1572.1142,0.5848,0.2471,0.6394,2.7046,4.6902,4.2796,2.9799,1.4593
2026,NYJ,New York Jets,6,4,8,5,6,2.7,10,13,17,20,108.2,43.4681,0.3885,11.1914,16.0359,7.8812,1.6146,1412.6701,0.5346,0.2464,0.5972,2.5561,4.7166,4.2938,2.9898,1.6001
2026,CHI,Chicago Bears,4,5,7,6,5,2.6,14,10,17,21,106.4,39.4139,0.3854,12.2222,15.3011,7.5542,1.6867,1549.1652,0.5841,0.2485,0.6169,2.4837,4.7571,4.3308,3.0343,1.5288
2026,WAS,Washington Commanders,5,4,5,5,4,2.3,30,7,17,22,106.3,39.6881,0.3898,12.5205,15.3818,7.5939,1.719,1526.0081,0.5729,0.2478,0.6007,2.3506,4.7339,4.3194,3.0918,1.6559
2026,TB,Tampa Bay Buccaneers,6,5,5,5,6,2.6,12,10,17,23,106.3,39.8264,0.3883,11.8791,15.3676,7.5897,1.6581,1578.3463,0.5868,0.2464,0.6268,2.5637,4.6758,4.295,3.0589,1.5334
2026,TEN,Tennessee Titans,5,5,5,5,4,2.4,28,9,17,24,105.8,39.3264,0.3875,12.099,15.3779,7.5704,1.6756,1360.3214,0.5249,0.2494,0.6191,2.4589,4.7747,4.3467,3.0534,1.4977
2026,LV,Las Vegas Raiders,4,6,5,5,5,2.4,27,13,17,25,105.7,38.697,0.3903,11.8408,15.4661,7.6073,1.6499,1458.8159,0.5471,0.2473,0.6582,2.6131,4.7342,4.3099,2.9527,1.4847
2026,LAC,Los Angeles Chargers,5,6,4,4,7,2.6,17,7,17,26,105.3,37.1586,0.3852,12.4543,14.9624,7.3928,1.6929,1531.9916,0.5815,0.2478,0.6409,2.6499,4.7134,4.291,2.9591,1.498
2026,MIN,Minnesota Vikings,6,5,6,5,4,2.5,21,6,17,27,103.1,36.2269,0.388,12.1037,15.0446,7.4087,1.658,1510.9643,0.5734,0.2486,0.6467,2.5346,4.7599,4.3333,3.0006,1.4764
2026,NO,New Orleans Saints,5,6,5,5,6,2.5,18,8,17,28,102.2,35.8231,0.3872,12.071,14.9189,7.3473,1.6525,1443.2291,0.5501,0.2477,0.6005,2.626,4.7009,4.3179,3,1.507
2026,CAR,Carolina Panthers,6,4,5,5,5,2.5,23,5,17,29,100.9,34.9908,0.3888,12.1679,14.9143,7.3394,1.6592,1449.0489,0.551,0.2486,0.6173,2.4502,4.7605,4.3338,3.0284,1.5611
