"player_gsis_id","season","season_type","player_display_name","player_position","team_abbr","avg_time_to_throw","avg_completed_air_yards","avg_intended_air_yards","avg_air_yards_differential","aggressiveness","max_completed_air_distance","avg_air_yards_to_sticks","attempts","pass_yards","pass_touchdowns","interceptions","passer_rating","completions","completion_percentage","expected_completion_percentage","completion_percentage_above_expectation","avg_air_distance","max_air_distance","player_first_name","player_last_name","player_jersey_number","player_short_name","week"
"00-0026158     ",2023,"REG         ","Joe Flacco               ","QB              ","CLE       ",3.0006622802407956,7.098486856661322,8.76999437646765,-1.6715075198063285,18.200563947354418,47.72716642626021,-0.021982055673505023,454,3539,27,18,90.40265816320016,280,62.528140782459,62.33879302691133,0.18934775554766808,22.742858644804564,50.05130164786255,"Joseph            ","Flacco            ",15,"J.Flacco","0, 13, 14, 15, 16, 17, 19"
"00-0026498     ",2023,"REG         ","Matthew Stafford         ","QB              ","LAR       ",2.6935434097855078,6.3563121542062895,7.869605195663638,-1.5132930414573482,13.736991435754998,43.0488114991396,-0.7328303652640331,1078,8297,50,22,94.56259268124337,677,62.8675783908706,63.36868124570195,-0.5011028548313605,21.946848109247448,46.42063200981248,"John              ","Stafford          ",9,"M.Stafford","0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 19"
"00-0026625     ",2023,"REG         ","Brian Hoyer              ","QB              ","LV        ",2.3856875000000004,4.265882352941177,6.885312500000001,-2.619430147058824,18.75,25.34696234265558,-1.2709374999999996,32,129,0,2,37.109375,17,53.125,66.962138004601,-13.837138004601002,20.07767638853603,34.12560622172154,"Brian             ","Hoyer             ",7,"B.Hoyer","7"
"00-0027948     ",2023,"REG         ","Blaine Gabbert           ","QB              ","KC        ",2.3192666666666666,2.652666666666667,5.047241379310344,-2.3945747126436765,16.666666666666664,25.880202858555805,-3.607931034482759,30,154,0,1,51.25000000000001,15,50.0,65.3005192304651,-15.3005192304651,19.754140403325223,45.54200808045249,"Blaine            ","Gabbert           ",9,"B.Gabbert","18"
"00-0027973     ",2023,"REG         ","Andy Dalton              ","QB              ","CAR       ",2.499103448275862,6.414705882352941,7.75,-1.3352941176470594,13.79310344827586,42.08132246020792,-1.6885964912280702,58,361,2,0,88.36206896551722,34,58.620689655172406,64.6869948454972,-6.06630519032479,22.082603468957323,42.78453575767768,"Andrew            ","Dalton            ",14,"A.Dalton","3"
"00-0028118     ",2023,"REG         ","Tyrod Taylor             ","QB              ","NYG       ",2.8595789125132813,7.514608305966065,9.962861488811331,-2.4482531828452667,10.975658427561287,53.54619833205327,0.8340747305530286,334,2569,10,6,90.02932090653523,215,62.44312252748964,61.25460276842072,1.188519759068928,22.790256912746298,58.939652060804825,"Tyrod             ","Taylor            ",2,"T.Taylor","0, 6, 7, 16, 17, 18"
"00-0028986     ",2023,"REG         ","Case Keenum              ","QB              ","HOU       ",2.7674158496732026,3.589782608695652,7.452500000000001,-3.8627173913043484,20.09803921568627,29.154458249734034,-2.4592647058823527,53,291,1,3,55.56576797385621,34,64.29738562091504,64.83657012687497,-0.5391845059599412,20.332743191448557,49.98004033227903,"Casey             ","Keenum            ",18,"C.Keenum","15, 16"
"00-0029263     ",2023,"REG         ","Russell Wilson           ","QB              ","DEN       ",3.0442624093228363,4.668370932182753,7.4188629986934185,-2.750492066510666,12.527202983149047,45.20854504772202,-1.5127295486068857,894,6140,52,16,96.93093849129063,594,66.0937568397837,65.27469700275006,0.819059837033644,20.642590548120097,50.38031971715464,"Russell           ","Wilson            ",3,"R.Wilson","0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16"
"00-0029604     ",2023,"REG         ","Kirk Cousins             ","QB              ","MIN       ",2.8635028799559192,6.2384742019520925,7.288785021558976,-1.050310819606883,13.771169056747178,39.183940499627106,-1.1351832266546689,622,4662,36,10,102.94536203158357,432,69.2756895228328,64.68648055699121,4.589208965841599,20.34872280310258,42.55616760960057,"Kirk              ","Cousins           ",8,"K.Cousins","0, 1, 2, 3, 4, 5, 6, 7, 8"
"00-0029701     ",2023,"REG         ","Ryan Tannehill           ","QB              ","TEN       ",2.6667961982019532,4.949085478618321,7.807414782964782,-2.8583293043464617,14.192624106498787,40.13341530281217,-1.1481442281994911,460,3232,8,14,78.69872314031521,298,65.14372089973112,64.54620098106265,0.5975199186684754,20.571133824347736,46.52404262216716,"Ryan              ","Tannehill         ",17,"R.Tannehill","0, 1, 2, 3, 4, 5, 6, 16, 17, 18"
