"player_gsis_id","season","season_type","week","player_display_name","player_position","team_abbr","efficiency","percent_attempts_gte_eight_defenders","avg_time_to_los","rush_attempts","rush_yards","expected_rush_yards","rush_yards_over_expected","avg_rush_yards","rush_yards_over_expected_per_att","rush_pct_over_expected","rush_touchdowns","player_first_name","player_last_name","player_jersey_number","player_short_name"
"00-0030513",2023,"REG","6, 11","Latavius Murray","RB","BUF",3.3316666666666666,35.0,2.4779343434343435,22,80,70.6275615769501,6.372438423049903,3.625,0.290738004570396,0.44949494949494945,0,"Latavius","Murray",28,"L.Murray"
"00-0030578",2023,"REG","7","Cordarrelle Patterson","RB","ATL",3.909464285714286,30.0,3.3934444444444445,10,56,48.08157508357612,7.918424916423881,5.6,0.7918424916423881,0.4,0,"Cordarrelle","Patterson",84,"C.Patterson"
"00-0031687",2023,"REG","0, 1, 2, 3, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16","Raheem Mostert","RB","MIA",4.426146817784468,15.478230183006831,2.919570343895134,402,1970,1700.640910476453,249.3590895235469,4.966424937046343,0.6406222154747575,0.40451290552098523,36,"Dominique","Mostert",31,"R.Mostert"
"00-0032144",2023,"REG","3","Melvin Gordon","RB","BAL",3.6475,30.0,2.7625555555555557,10,32,48.410852420022735,-16.410852420022735,3.2,-1.6410852420022737,0.2,0,"Melvin","Gordon",33,"M.Gordon"
"00-0032764",2023,"REG","0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18","Derrick Henry","RB","TEN",5.269112650426923,35.96267657064871,2.8337935247167345,560,2334,2134.746453256259,167.2535467437412,4.0629492628783135,0.21098332293276448,0.3934296984198398,24,"Derrick","Henry",22,"D.Henry"
"00-0033045",2023,"REG","0, 3, 7, 10, 13, 14, 15, 16, 17, 18","Ezekiel Elliott","RB","NE",4.216996987282935,15.938291780683084,2.7079728349258683,313,1072,1152.6924638949104,-104.69246389491026,3.3073178739419147,-0.29998932971745457,0.4044100997042174,5,"Ezekiel","Elliott",15,"E.Elliott"
"00-0033280",2023,"REG","0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 20, 21, 23","Christian McCaffrey","RB","SF",3.8616525343213355,35.221874036696015,2.816228857130571,603,3186,2316.8120566105927,715.1879433894075,5.229599447035592,1.1458506935223096,0.4473211409763267,32,"Christian","McCaffrey",23,"C.McCaffrey"
"00-0033293",2023,"REG","0, 9, 10, 15, 16, 17, 18, 19, 20","Aaron Jones","RB","GB",3.7600097437029802,24.693936736190256,2.641679714125993,290,1401,1224.6380435102565,108.36195648974359,4.861230032356793,0.45507059776976355,0.38273573436972125,6,"Aaron","Jones",33,"A.Jones"
"00-0033308",2023,"REG","4","Matt Breida","RB","NYG",4.775000000000001,7.142857142857142,2.2278461538461536,14,30,43.64519741308618,-14.64519741308618,2.142857142857143,-1.1265536471604751,0.3076923076923077,0,"Matthew","Breida",31,"M.Breida"
"00-0033553",2023,"REG","0, 1, 2, 3, 4, 10, 11, 13, 15, 16, 17, 18","James Conner","RB","ARI",3.8882100351431768,23.214346543150892,2.9253066943664074,404,2007,1612.0246806082173,380.9753193917827,4.943925071506594,0.7223142863132525,0.4231428662588083,14,"James","Conner",6,"J.Conner"
"00-0033699",2023,"REG","0, 1, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18","Austin Ekeler","RB","LAC",5.200478732802823,14.515198226396612,2.6297455950098256,353,1247,1281.8596043751486,-88.85960437514856,3.552717012041738,-0.2410184866442512,0.35181501493069606,10,"Austin","Ekeler",30,"A.Ekeler"
"00-0033893",2023,"REG","1","Dalvin Cook","RB","NYJ",5.75878787878788,23.076923076923077,2.5706,13,33,55.73409964809176,-22.734099648091764,2.5384615384615383,-1.7487768960070589,0.3076923076923077,0,"Dalvin","Cook",33,"D.Cook"
"00-0033897",2023,"REG","0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18","Joe Mixon","RB","CIN",3.8144280948271887,13.192265964470852,2.6023289639560137,506,2052,2018.4984159111118,27.501584088888396,4.178315389501016,0.1505519032777228,0.4172803874724347,18,"Joe","Mixon",28,"J.Mixon"
"00-0033906",2023,"REG","0, 4, 5, 6, 7, 8, 12, 13, 14, 15, 17","Alvin Kamara","RB","NO",4.010290823320653,22.017091017935375,2.622093846554406,333,1301,1427.9751607740855,-144.97516077408537,4.032672824095565,-0.27341670802713175,0.35904764294716446,10,"Alvin","Kamara",41,"A.Kamara"
"00-0033923",2023,"REG","0, 6, 7, 8, 9, 10, 11, 13, 14, 17","Kareem Hunt","RB","CLE",4.376489435344603,32.63756613756614,2.6693917162163885,239,756,908.762929141696,-158.76292914169602,3.2703968253968254,-0.6164299348492416,0.37126510305614785,17,"Kareem","Hunt",27,"K.Hunt"
"00-0033925",2023,"REG","0, 6, 7, 9, 10, 14","D'Onta Foreman","RB","CHI",3.560024228427769,19.17470080887512,2.6294055490457744,192,792,754.0882447390686,34.91175526093142,4.383315709519838,0.37193599287958296,0.49178997923156803,7,"D'Onta","Foreman",21,"D.Foreman"
"00-0033948",2023,"REG","0, 1, 14, 17, 18","Jamaal Williams","RB","NO",4.79502183170227,29.15960570379637,2.607002016488413,168,478,623.8032029886796,-151.8032029886796,2.841131559602265,-0.8466181355519137,0.28840830222409164,2,"Jamaal","Williams",21,"J.Williams"
"00-0034115",2023,"REG","12","Jeffery Wilson","RB","MIA",3.595714285714286,0.0,2.752636363636364,11,56,61.15507400682996,-5.155074006829963,5.090909090909091,-0.4686430915299966,0.2727272727272727,0,"Jeffery","Wilson",23,"J.Wilson"
"00-0034184",2023,"REG","0, 2, 3, 4, 5, 6, 7, 8, 10, 11, 15, 17, 18, 20","Gus Edwards","RB","BAL",3.758343534030638,34.60413750827285,2.6694688401875903,370,1504,1410.7173653892878,75.2826346107122,4.106800890212544,0.15229173397917065,0.40588686789272016,23,"Gus","Edwards",35,"G.Edwards"
"00-0034681",2023,"REG","16","Chase Edmonds","RB","TB",6.108800000000001,30.0,3.2809999999999997,10,25,41.46895204669318,-16.468952046693182,2.5,-1.6468952046693182,0.2,0,"Chase","Edmonds",22,"C.Edmonds"
"00-0034791",2023,"REG","1, 2","Nick Chubb","RB","CLE",3.128095518867925,26.11111111111111,2.948583333333333,28,170,111.75995873797315,58.24004126202685,6.144444444444445,2.342346508890195,0.6277777777777778,0,"Nicholas","Chubb",24,"N.Chubb"
"00-0034838",2023,"REG","7, 9, 11, 12","Royce Freeman","RB","LAR",3.7399248308056094,8.012820512820511,2.7343338235294117,54,248,210.88022113487642,35.119778865123585,4.595965309200603,0.6145646587276872,0.48838141025641024,1,"Royce","Freeman",24,"R.Freeman"
"00-0034844",2023,"REG","0, 1, 2, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18","Saquon Barkley","RB","NYG",3.8426846377395516,16.634898693385704,2.7169867621139643,485,1910,1670.188593430007,201.81140656999315,4.071106120086948,0.6032517502075108,0.3840084947022287,12,"Saquon","Barkley",26,"S.Barkley"
"00-0034972",2023,"REG","0, 1, 3, 4, 6, 8, 9, 11, 12, 14","Alexander Mattison","RB","MIN",4.30145154875804,24.20268865121806,2.8395785024547453,316,1240,1311.8488439372927,-73.8488439372928,4.064997771836007,-0.11730594962235359,0.3996276684027259,0,"Alexander","Mattison",2,"A.Mattison"
"00-0034975",2023,"REG","2, 9, 16, 20","Justice Hill","RB","BAL",5.213025523764853,6.118881118881118,3.061725,47,173,190.55532490389612,-17.555324903896107,3.6202797202797203,-0.47619798464058904,0.3466783216783217,0,"Justice","Hill",43,"J.Hill"
"00-0035243",2023,"REG","0, 1, 2, 4, 11, 12, 14","Miles Sanders","RB","CAR",5.044052980442161,9.750482076063472,2.898734200323486,210,718,783.6201163156547,-77.62011631565477,3.670560779198653,-0.046102746874829466,0.29041880738309306,1,"Miles","Sanders",6,"M.Sanders"
"00-0035250",2023,"REG","0, 6, 8, 9, 10, 11, 14, 15, 17, 18, 19","Devin Singletary","RB","HOU",4.047620157002632,17.515216265216267,2.884624488466685,395,1669,1520.6334278287538,97.36657217124613,4.221583551129005,0.3953439765076976,0.40131710495824535,9,"Devin","Singletary",26,"D.Singletary"
"00-0035261",2023,"REG","0, 1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19","Tony Pollard","RB","DAL",3.9293530224759445,9.489937843092148,2.625557073943415,511,2037,1995.7059029476486,-80.70590294764855,4.046315548144192,-0.1722656063077631,0.3639041458957944,13,"Tony","Pollard",20,"T.Pollard"
"00-0035567",2023,"REG","6, 8","Craig Reynolds","RB","DET",6.639855855855855,37.85714285714286,2.8926587301587308,24,89,79.84833267806451,9.151667321935484,3.392857142857143,0.16625732762323164,0.4214285714285715,0,"Craig","Reynolds",13,"C.Reynolds"
"00-0035664",2023,"REG","7, 8, 9","Darrell Henderson","RB","LAR",5.649744403313942,11.666666666666666,2.639583333333333,40,111,191.85585765721024,-80.85585765721024,2.624074074074074,-2.3679849739317893,0.18148148148148147,1,"Darrell","Henderson",27,"D.Henderson"
"00-0035685",2023,"REG","0, 1, 2, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21","David Montgomery","RB","DET",3.527545905713044,24.652720086861382,2.5528116235759426,471,2199,1962.8936812470247,147.10631875297528,4.868125241282172,0.44489678580742326,0.44232685550280304,28,"David","Montgomery",5,"D.Montgomery"
"00-0035700",2023,"REG","0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14","Josh Jacobs","RB","LV",4.300636593364994,21.37728331197551,2.7709953432483534,457,1612,1759.9422439529415,-159.94224395294157,3.5219373658702966,-0.45691496528933323,0.3382822223069901,12,"Joshua","Jacobs",8,"J.Jacobs"
"00-0035860",2023,"REG","2","Tony Jones","RB","NO",4.65764705882353,33.33333333333333,2.79025,12,34,43.62346921413392,-9.62346921413392,2.8333333333333335,-0.8019557678444933,0.4166666666666667,2,"Tony","Jones",34,"T.Jones"
"00-0036139",2023,"REG","10, 14","Rico Dowdle","RB","DAL",3.2811474958723172,16.666666666666664,2.4087121212121216,24,125,112.78876795887052,12.211232041129472,5.208333333333333,0.5088013350470613,0.45833333333333337,2,"Rico","Dowdle",23,"R.Dowdle"
"00-0036223",2023,"REG","0, 7, 8, 9, 10, 12, 16, 17, 18","Jonathan Taylor","RB","IND",3.5905457952019453,14.337283551330374,2.764320041378374,324,1445,1304.1010498883995,125.89895011160041,4.596967846967846,0.5605571518177048,0.35245214496322474,14,"Jonathan","Taylor",28,"J.Taylor"
"00-0036251",2023,"REG","0, 2, 3, 4, 5, 7, 8, 13, 14","Zack Moss","RB","IND",3.7078715888829623,13.508948793989621,2.6927931989188396,333,1441,1192.4518501384623,244.54814986153764,4.262430960995441,0.6756435078791332,0.4025287536558217,9,"Zaccheus","Moss",21,"Z.Moss"
"00-0036265",2023,"REG","0, 1, 2, 3, 5, 7, 11, 12, 13, 14","A.J. Dillon","RB","GB",4.791349181338397,19.454829814380375,2.595295161702246,313,1055,1179.1200118161164,-138.12001181611635,3.217043805133693,-0.6333852653408079,0.38059552289815446,3,"Algiers","Dillon",28,"A.Dillon"
"00-0036269",2023,"REG","18","La'Mical Perine","RB","KC",4.344626865671643,5.0,2.655473684210526,20,67,71.2024621905676,-5.202462190567601,3.35,-0.2738137995035579,0.2631578947368421,0,"La'Mical","Perine",29,"L.Perine"
"00-0036275",2023,"REG","0, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 19","D'Andre Swift","RB","PHI",4.021292689907452,19.22182672774681,2.7664470915930477,461,2116,2208.55694587692,-130.5569458769199,4.459665481483689,-0.47421694431348793,0.3541533435926818,10,"D'Andre","Swift",0,"D.Swift"
"00-0036297",2023,"REG","7","Darrynton Evans","RB","CHI",5.832499999999999,42.857142857142854,3.100230769230769,14,48,47.757834104552266,-1.7578341045522663,3.4285714285714284,-0.135218008042482,0.3846153846153846,0,"Darrynton","Evans",25,"D.Evans"
"00-0036328",2023,"REG","13","Antonio Gibson","RB","WAS",4.344285714285714,0.0,3.0967,10,35,32.431867304218244,2.568132695781756,3.5,0.2568132695781756,0.4,0,"Antonio","Gibson",24,"A.Gibson"
"00-0036360",2023,"REG","3, 14, 15","Clyde Edwards-Helaire","RB","KC",4.569987735987736,4.444444444444445,2.9042177489177483,39,131,155.11227302997983,-24.112273029979825,3.3527583527583524,-0.6570088921872639,0.2836052836052836,1,"Clyde","Edwards-Helaire",25,"C.Edwards-Helaire"
"00-0036370",2023,"REG","0, 1, 2, 3, 4","Joshua Kelley","RB","LAC",5.795884466151133,12.591333899745113,2.7845664662084766,164,612,634.3957013646922,-30.395701364692144,3.477397046329152,-0.20631683352730712,0.3681493506493506,3,"Joshua","Kelley",25,"J.Kelley"
"00-0036414",2023,"REG","1, 7","Cam Akers","RB","LAR",8.528487208008897,32.72727272727273,2.726794117647059,32,60,105.78170396205627,-45.78170396205627,2.209090909090909,-1.3213003093194453,0.22499999999999998,1,"Cam","Akers",3,"C.Akers"
"00-0036493",2023,"REG","1","Deon Jackson","RB","IND",10.405714285714286,23.076923076923077,2.657909090909091,13,14,33.42955942353157,-19.429559423531572,1.0769230769230769,-1.4945814941178133,0.3076923076923077,0,"Deon","Jackson",35,"D.Jackson"
"00-0036555",2023,"REG","0, 4, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18","Chuba Hubbard","RB","CAR",4.066890071390006,19.718287410978217,2.7085145215046067,446,1668,1559.861184135499,92.13881586450108,3.6954059705045705,0.2505815611618345,0.4747153889864203,10,"Chuba","Hubbard",30,"C.Hubbard"
"00-0036567",2023,"REG","3, 17, 18","Elijah Mitchell","RB","SF",4.093953144078144,39.062897886427294,2.723630128205128,42,174,155.063261333235,18.936738666764988,4.079449961802903,0.32786705278325473,0.4387573211102622,2,"Elijah","Mitchell",25,"E.Mitchell"
"00-0036875",2023,"REG","0, 1, 2, 3, 4, 6, 8, 10, 12","Rhamondre Stevenson","RB","NE",3.8564133445755258,15.407964355332776,2.500597396025028,277,1054,1094.6186819110628,-68.61868191106294,3.5777113724482144,-0.5206609700780204,0.3469421989545828,7,"Rhamondre","Stevenson",38,"R.Stevenson"
"00-0036893",2023,"REG","0, 2, 3, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19","Najee Harris","RB","PIT",4.171504933247711,17.16620815191203,2.798785140206775,509,2063,1883.488945377262,155.5110546227377,3.96194216539782,0.1660300180184284,0.3946112741324075,16,"Najee","Harris",22,"N.Harris"
"00-0036906",2023,"REG","0, 4, 5, 11, 16, 17, 18","Khalil Herbert","RB","CHI",3.917573455816581,34.426406926406926,2.7383272988870346,226,1089,985.4536832050921,85.5463167949079,4.994390331890331,0.4081778353640923,0.37150701365817645,4,"Khalil","Herbert",24,"K.Herbert"
"00-0036919",2023,"REG","1, 3","Kenneth Gainwell","RB","PHI",3.6400925925925933,46.42857142857143,2.6196309523809527,28,97,101.9891387267027,-4.989138726702706,3.4642857142857144,-0.1781835259536681,0.42857142857142855,0,"Kenneth","Gainwell",14,"K.Gainwell"
"00-0036973",2023,"REG","0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 14, 15, 17, 18","Travis Etienne","RB","JAX",4.4134114403873745,22.85934900793897,2.8613734331273877,519,1969,2065.0813701146267,-126.0813701146271,3.76714821882853,-0.29574135377364696,0.3866352130693378,22,"Travis","Etienne",1,"T.Etienne"
"00-0036984",2023,"REG","15","Trey Sermon","RB","IND",3.012272727272727,47.05882352941176,2.5174375,17,88,79.1846114670465,8.815388532953506,5.176470588235294,0.5185522666443239,0.4705882352941176,0,"Trey","Sermon",27,"T.Sermon"
"00-0036997",2023,"REG","0, 1, 2, 3, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17","Javonte Williams","RB","DEN",4.643357422201864,15.760601241942165,2.9365048798764586,423,1516,1647.8904593335792,-161.8904593335791,3.6126067871735175,-0.4520231855126654,0.37715600666581056,5,"Javonte","Williams",33,"J.Williams"
