"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Christian McCaffrey","SF","rb","9","17","365.5","50","0","0","0","0","0","0","291.3467","1325.7413","10.6635","93.8537","77.9386","648.0004","4.5359","2.358","1.179","0.0122","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Breece Hall","NYJ","rb","12","17","291.9","37","0","0","0","0","0","0","243.0982","1113.3972","6.5595","78.6559","63.8301","530.718","2.7547","2.0055","1.0027","0.3139","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Kyren Williams","LA","rb","6","17","283.5","36","0","0","0","0","0","0","267.1688","1198.3275","8.3874","52.8875","44.5389","279.2241","1.9558","3.4214","1.7107","0.4284","332.873","0.0964","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Bijan Robinson","ATL","rb","12","17","283","36","0","0","0","0","0","0","277.3262","1229.3856","7.5875","70.8411","57.7564","445.1894","2.9305","4.2572","2.1286","0.1131","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Jonathan Taylor","IND","rb","14","17","267.9","33","0","0","0","0","0","0","289.7174","1251.0201","8.6784","60.6975","50.6887","321.4004","1.451","3.2773","1.6386","0.061","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Jahmyr Gibbs","DET","rb","5","17","252.8","31","0","0","0","0","0","0","195.2641","942.1546","7.8377","70.1054","57.7268","434.0193","2.2696","2.3448","1.1724","0.1001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","De'Von Achane","MIA","rb","6","17","251.1","30","0","0","0","0","0","0","165.0986","805.2375","5.1857","70.4385","58.6708","405.1993","2.4368","1.7773","0.8886","0.1632","228.1105","0.0995","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Derrick Henry","BLT","rb","14","17","236.4","28","0","0","0","0","0","0","305.0469","1287.1847","10.8773","28.2863","23.6853","176.3775","0.7767","2.3592","1.1796","0.0149","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Saquon Barkley","PHI","rb","5","17","235.2","27","0","0","0","0","0","0","249.4028","1052.8773","6.6952","59.0638","47.9443","335.2061","1.7945","1.6633","0.8316","0.3314","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Isiah Pacheco","KC","rb","6","17","233.6","27","0","0","0","0","0","0","247.6577","1061.0251","7.5807","54.3825","46.97","298.7702","1.7355","3.2824","1.6412","0.0235","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Travis Etienne Jr.","JAX","rb","12","17","222.8","25","0","0","0","0","0","0","236.4209","1001.8528","5.7916","51.1992","42.9349","325.3485","1.4135","1.8637","0.9319","0.4992","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Tyreek Hill","MIA","wr","6","17","311.1","25","0","0","0","0","0","0","5.6513","21.6304","0.2797","148.8945","101.1409","1436.7444","8.6642","0.9453","0.4727","0.3333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Joe Mixon","HST","rb","14","17","220.5","25","0","0","0","0","0","0","270.8254","1029.7288","7.2302","45.3507","38.4801","267.9409","1.5038","0.1888","0.0944","0.0191","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Kenneth Walker III","SEA","rb","10","17","220.4","25","0","0","0","0","0","0","241.7042","1027.5014","7.5338","42.1236","35.8774","241.5977","1.2021","0.8937","0.4468","0.0417","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Josh Jacobs","GB","rb","10","17","217.7","24","0","0","0","0","0","0","227.502","927.4703","6.4499","51.6287","42.3146","335.9894","1.6273","2.2536","1.1268","0.025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
