fantasyPointsRank,playerName,teamName,position,byeWeek,games,fantasyPoints,auctionValue,fgMade019,fgAtt019,fgMade2029,fgAtt2029,fgMade3039,fgAtt3039,fgMade4049,fgAtt4049,fgMade50plus,fgAtt50plus,patMade,patAtt
1,Brandon Aubrey,DAL,k,14,17,156.9,0,0,0,7.4846,7.5701,9.2922,9.6635,8.502,9.7304,5.9768,7.558,42.6727,43.9726
2,Harrison Mevis,LA,k,11,17,155.4,0,0,0,7.5939,7.7222,9.3079,9.8575,8.1792,9.9258,5.5425,7.7097,44.2294,46.2212
3,Jake Bates,DET,k,6,17,154.8,0,0,0,7.5412,7.6751,9.2247,9.7974,8.0566,9.8653,5.4304,7.6627,45.0818,47.2161
4,Cam Little,JAX,k,7,17,154.4,0,0,0,7.5142,7.6107,9.2975,9.7153,8.4153,9.7826,5.8564,7.5985,41.0505,42.4566
5,Evan McPherson,CIN,k,6,17,153.8,0,0,0,7.4902,7.616,9.1827,9.7221,8.0744,9.7894,5.4746,7.6038,44.1549,46.1326
6,Eddy Pineiro,SF,k,8,17,153,0,0,0,7.5061,7.6242,9.2248,9.7325,8.1732,9.7999,5.5788,7.612,42.2688,44.0428
7,Cameron Dicker,LAC,k,7,17,152.4,0,0,0,7.5483,7.6352,9.3693,9.7466,8.5665,9.8141,6.0182,7.623,37.2973,38.4424
8,Tyler Bass,BUF,k,7,17,152.1,0,0,0,7.5384,7.6963,9.1541,9.8245,7.8213,9.8925,5.1746,7.6839,44.8898,47.397
9,Chris Boswell,PIT,k,9,17,151.9,0,0,0,7.4895,7.5793,9.286,9.6752,8.46,9.7422,5.9234,7.5671,38.14,39.3587
10,Nick Folk,ATL,k,11,17,151.6,0,0,0,7.4032,7.4877,9.1915,9.5582,8.4108,9.6244,5.9134,7.4756,38.6471,39.8229
11,Tyler Loop,BLT,k,13,17,151.6,0,0,0,7.5476,7.7016,9.1765,9.8313,7.8691,9.8994,5.2221,7.6892,43.8669,46.2539
12,Jason Myers,SEA,k,11,17,151,0,0,0,7.5645,7.6919,9.2729,9.8189,8.1515,9.8869,5.5255,7.6795,40.222,42.0278
13,Harrison Butker,KC,k,5,17,149.9,0,0,0,7.5003,7.6264,9.1947,9.7353,8.0841,9.8027,5.4807,7.6141,40.0661,41.8623
14,Jake Elliott,PHI,k,10,17,149.1,0,0,0,7.5294,7.6853,9.148,9.8105,7.8285,9.8785,5.1862,7.673,41.8609,44.1728
15,Trey Smack,GB,k,11,17,148.8,0,0,0,7.4956,7.6478,9.1153,9.7626,7.8218,9.8302,5.1937,7.6355,41.7077,43.9663
16,Chase McLaughlin,TB,k,10,17,148.2,0,0,0,7.4366,7.5616,9.1169,9.6526,8.0162,9.7194,5.435,7.5494,39.29,41.0504
17,Cairo Santos,CHI,k,10,17,147.1,0,0,0,7.4829,7.6096,9.1707,9.7139,8.0559,9.7811,5.4574,7.5974,37.6594,39.3602
18,Ka'imi Fairbairn,HST,k,8,17,146.2,0,0,0,7.5447,7.6713,9.2499,9.7926,8.1346,9.8605,5.5161,7.659,35.7338,37.3326
19,Andres Borregales,NE,k,11,17,145.6,0,0,0,7.4848,7.6422,9.0875,9.7555,7.7604,9.823,5.1321,7.6299,39.2167,41.415
20,Will Reichard,MIN,k,6,17,145.2,0,0,0,7.4534,7.5785,9.1382,9.6741,8.0367,9.7411,5.45,7.5663,36.0743,37.6876
21,Blake Grupe,IND,k,13,17,143.6,0,0,0,7.385,7.5402,8.9663,9.6253,7.657,9.692,5.0638,7.5281,38.6326,40.798
22,Wil Lutz,DEN,k,10,17,143.4,0,0,0,7.4674,7.6239,9.0677,9.7321,7.7469,9.7995,5.1251,7.6116,37.1906,39.2689
23,Jake Moody,WAS,k,7,17,141.2,0,0,0,7.3699,7.5267,8.9429,9.608,7.6243,9.6746,5.0352,7.5146,36.6234,38.7006
24,Dominic Zvada,NYG,k,8,17,140.8,0,0,0,7.2343,7.3812,8.7976,9.4223,7.5492,9.4876,5.0126,7.3693,37.399,39.4242
25,Ryan Fitzgerald,CAR,k,5,17,137.8,0,0,0,7.3151,7.4663,8.8887,9.5309,7.6092,9.5969,5.0424,7.4543,33.5114,35.3577
26,Charlie Smyth,NO,k,8,17,137.7,0,0,0,7.3376,7.4906,8.9123,9.5619,7.6198,9.6282,5.0441,7.4785,33.2055,35.0514
27,Matt Gay,LV,k,13,17,136.2,0,0,0,7.1566,7.3066,8.6903,9.327,7.4245,9.3916,4.9118,7.2948,34.3657,36.286
28,Andre Szmyt,CLV,k,11,17,136.1,0,0,0,7.1676,7.2902,8.7808,9.3062,7.704,9.3706,5.2134,7.2785,31.4041,32.8368
29,Joey Slye,TEN,k,9,17,133.5,0,0,0,7.2114,7.3531,8.7828,9.3865,7.5701,9.4515,5.0453,7.3413,29.9975,31.5698
30,Chad Ryland,ARZ,k,14,17,128.5,0,0,0,6.4934,6.6311,7.8802,8.4648,6.7205,8.5235,4.4396,6.6205,36.3086,38.3629
31,Cade York,NYJ,k,13,17,128.5,0,0,0,6.7692,6.9128,8.215,8.8244,7.0062,8.8855,4.6284,6.9017,32.406,34.2394
32,Zane Gonzalez,MIA,k,6,17,126.8,0,0,0,6.424,6.5409,7.8499,8.3497,6.834,8.4075,4.5937,6.5304,33.6381,35.2717
