"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Jahmyr Gibbs","DET","rb","6","17","345.3","60","0","0","0","0","0","0","284.925","1297.6131","12.2749","88.9436","72.7145","517.5053","3.0516","4.6373","2.1279","0.635","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Bijan Robinson","ATL","rb","11","17","337.5","58","0","0","0","0","0","0","259.2866","1176.388","8.5434","107.4973","86.5277","630.7588","3.3163","4.4395","2.0575","0.5706","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Christian McCaffrey","SF","rb","8","17","325.8","55","0","0","0","0","0","0","257.1668","1090.4549","8.4272","95.1809","78.8426","623.9451","4.2912","4.3279","1.9992","0.5911","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Jonathan Taylor","IND","rb","13","17","320.7","54","0","0","0","0","0","0","322.5842","1459.6662","13.9606","60.7174","49.9027","336.1598","1.4225","4.9007","2.2162","0.5507","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","James Cook","BUF","rb","7","17","287.9","46","0","0","0","0","0","0","303.1498","1382.0892","11.9191","49.147","39.71","292.2377","1.6966","4.528","2.0399","0.549","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","De'Von Achane","MIA","rb","6","17","285.2","45","0","0","0","0","0","0","241.1542","1162.8633","8.6106","73.604","59.8482","429.8845","2.559","3.9066","1.7909","0.4468","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Ashton Jeanty","LV","rb","13","17","277.1","43","0","0","0","0","0","0","293.8668","1225.213","7.2238","70.3499","58.5592","397.6477","2.3341","4.6056","2.0968","0.4923","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Puka Nacua","LA","wr","11","17","324.3","42","0","0","0","0","0","0","11.9534","72.7456","0.6245","173.177","125.3121","1420.4708","7.6125","1.5125","0.8166","0.5103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Ja'Marr Chase","CIN","wr","6","17","324.2","42","0","0","0","0","0","0","2.1693","12.9695","0.065","174.377","123.1339","1417.0104","9.5779","1.3567","0.7455","0.4712","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Jaxon Smith-Njigba","SEA","wr","11","17","317.6","40","0","0","0","0","0","0","3.5285","21.1108","0.1013","172.3188","122.617","1399.6326","8.6705","1.3695","0.7505","0.4964","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Kenneth Walker III","KC","rb","5","17","263.8","39","0","0","0","0","0","0","263.7884","1147.6358","8.4902","63.2115","53.0671","372.8292","1.4358","4.1397","1.8852","0.522","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Josh Jacobs","GB","rb","11","17","260.9","39","0","0","0","0","0","0","287.3912","1222.5763","11.2505","46.7822","38.7176","263.4199","1.1733","4.3042","1.9403","0.4852","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Chase Brown","CIN","rb","6","17","258.4","38","0","0","0","0","0","0","211.1478","923.758","6.2028","79.1453","64.4235","453.6384","3.2621","3.5501","1.6396","0.536","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Saquon Barkley","PHI","rb","10","17","257.8","38","0","0","0","0","0","0","256.9391","1140.993","8.6693","58.6485","47.4889","332.7227","1.956","3.9869","1.8113","0.4922","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Jeremiyah Love","ARZ","rb","14","17","253.2","37","0","0","0","0","0","0","272.6906","1200.4088","9.3827","51.1816","40.7793","280.2996","1.5075","4.1276","1.8651","0.4576","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Derrick Henry","BLT","rb","13","17","251.7","36","0","0","0","0","0","0","283.8259","1355.0015","12.2686","26.8562","22.061","159.2226","0.9127","4.0764","1.82","0.4507","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Justin Jefferson","MIN","wr","6","17","291.4","34","0","0","0","0","0","0","0","0","0","174.115","114.6473","1305.6967","7.5525","0","0","0.4429","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Amon-Ra St. Brown","DET","wr","6","17","291.3","34","0","0","0","0","0","0","1.7642","10.7751","0.0787","152.7255","115.1154","1245.6641","8.3027","1.2648","0.6954","0.4635","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Omarion Hampton","LAC","rb","7","17","240.6","34","0","0","0","0","0","0","222.3422","943.7381","6.4985","68.4146","57.4708","393.1074","1.8844","3.6266","1.6648","0.4156","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","Kyren Williams","LA","rb","11","17","240.1","33","0","0","0","0","0","0","240.3488","1066.1177","8.5972","50.8632","40.241","295.8267","2.1393","3.6844","1.6694","0.4579","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","Breece Hall","NYJ","rb","13","17","238.5","33","0","0","0","0","0","0","250.0996","1087.9608","6.3932","58.336","47.4922","343.192","1.7491","3.8944","1.7706","0.3952","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","Javonte Williams","DAL","rb","14","17","236.8","33","0","0","0","0","0","0","273.9059","1188.5349","9.3756","39.5137","32.9859","218.3247","1.2899","4.06","1.8259","0.4577","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","Bucky Irving","TB","rb","10","17","236.2","32","0","0","0","0","0","0","258.3258","1106.3728","7.3839","50.7609","42.2176","298.0718","1.6885","3.9488","1.7882","0.4341","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","Drake London","ATL","wr","11","17","285.9","32","0","0","0","0","0","0","0","0","0","166.0237","108.1525","1268.3867","8.3394","0","0","0.4143","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","Travis Etienne Jr.","NO","rb","8","17","235.8","32","0","0","0","0","0","0","252.1727","1084.9153","6.4315","55.6221","46.3455","308.9175","2.0861","3.9101","1.7761","0.3804","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","CeeDee Lamb","DAL","wr","14","17","285.6","32","0","0","0","0","0","0","3.3001","19.7591","0.1391","161.0943","109.1008","1261.7895","7.8828","1.2207","0.6687","0.4403","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","Rashee Rice","KC","wr","5","17","271","29","0","0","0","0","0","0","7.0196","41.1291","0.3667","151.9507","112.1923","1046.7338","7.958","1.3043","0.7092","0.4012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","Quinshon Judkins","CLV","rb","11","17","219.8","28","0","0","0","0","0","0","275.6871","1151.6458","6.8323","44.2092","35.712","239.6416","0.8485","4.1135","1.8527","0.3658","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","Cam Skattebo","NYG","rb","8","17","211.5","26","0","0","0","0","0","0","210.271","896.9574","7.3482","51.7871","41.3343","282.9393","1.4789","3.2894","1.497","0.3779","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","Trey McBride","ARZ","te","14","17","247.2","25","0","0","0","0","0","0","0","0","0","143.4274","105.8976","993.3178","6.8874","0","0","0.346","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","TreVeyon Henderson","NE","rb","11","17","205.5","25","0","0","0","0","0","0","196.5297","829.3078","6.5103","52.9374","43.6848","308.0155","1.6061","3.1289","1.4292","0.3857","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","D'Andre Swift","CHI","rb","10","17","203.9","24","0","0","0","0","0","0","222.7295","963.9791","7.1252","44.0621","35.5344","240.9051","0.9931","3.3954","1.5366","0.348","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","Nico Collins","HST","wr","8","17","253.1","24","0","0","0","0","0","0","0.8663","5.0387","0.041","145.91","92.4983","1190.8779","6.7647","1.0088","0.5555","0.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","Malik Nabers","NYG","wr","8","17","248","23","0","0","0","0","0","0","3.331","19.9155","0.142","148.7501","93.9802","1112.4658","6.623","1.0581","0.5789","0.4022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","David Montgomery","HST","rb","8","17","197.9","23","0","0","0","0","0","0","246.9093","1072.3203","7.5259","30.6581","25.0029","176.7459","0.629","3.6088","1.6178","0.3311","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","Jadarian Price","SEA","rb","11","17","196.9","23","0","0","0","0","0","0","205.9418","901.4015","7.191","40.7399","33.0852","235.9769","1.2761","3.1419","1.4222","0.3519","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","A.J. Brown","NE","wr","11","17","245.3","22","0","0","0","0","0","0","0","0","0","136.1248","88.3555","1120.6167","7.3497","0","0","0.3906","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","George Pickens","DAL","wr","14","17","243.2","22","0","0","0","0","0","0","0","0","0","134.9545","87.6964","1110.3057","7.2927","0","0","0.3653","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","Rhamondre Stevenson","NE","rb","11","17","192.4","21","0","0","0","0","0","0","176.4586","754.9044","5.5503","51.3169","41.7751","308.3314","1.9249","2.8368","1.2984","0.3572","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","Brock Bowers","LV","te","13","17","232.7","21","0","0","0","0","0","0","3.1641","17.7371","0.1157","129.3531","97.0349","942.6586","6.4835","1.0888","0.5961","0.3131","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41","Chris Olave","NO","wr","8","17","241.9","21","0","0","0","0","0","0","0","0","0","143.5959","92.5445","1110.4443","6.2821","0","0","0.3319","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","DeVonta Smith","PHI","wr","10","17","239.8","21","0","0","0","0","0","0","0","0","0","136.1292","94.2867","1075.783","6.1826","0","0","0.4182","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
