"Player","Pos","Team","week1Targets","week2Targets","week3Targts","week4Targets","week5Targets","week6Targets","week7Targets","week8Targets","week9Targets","week10Targets","week11Targets","week12Targets","week13Targets","week14Targets","week15Targets","week16Targets","week17Targets","week18Targets","TTL","AVG"
"CeeDee Lamb","WR","DAL","4","13","7","6","5","7","bye","14","16","14","9","9","17","10","10","10","17","13","181","10.6"
"Davante Adams","WR","LV","9","8","20","13","4","5","12","7","7","13","13","7","bye","10","12","6","21","8","175","10.3"
"Tyreek Hill","WR","MIA","15","9","11","5","9","10","15","13","10","bye","11","12","7","5","-","14","12","13","171","10.7"
"Garrett Wilson","WR","NYJ","5","8","9","14","7","12","bye","13","13","14","8","10","7","14","4","15","10","5","168","9.9"
"Amon-Ra St. Brown","WR","DET","9","7","12","7","-","15","19","9","bye","9","11","11","6","8","9","14","8","10","164","10.3"
"Puka Nacua","WR","LAR","15","20","7","10","11","7","12","7","7","bye","7","8","7","9","8","11","8","6","160","9.4"
"Stefon Diggs","WR","BUF","13","7","12","7","11","16","12","12","7","5","8","11","bye","11","5","8","7","8","160","9.4"
"A.J. Brown","WR","PHI","10","6","14","13","8","9","15","8","9","bye","4","9","13","13","10","11","5","1","158","9.3"
"Michael Pittman Jr.","WR","IND","11","12","11","5","7","14","5","13","8","12","bye","13","16","11","5","-","7","6","156","9.8"
"Keenan Allen","WR","LAC","9","10","20","5","bye","11","9","10","9","14","16","16","9","12","-","-","-","-","150","11.5"
"Ja'Marr Chase","WR","CIN","9","8","15","9","19","13","bye","12","8","6","7","6","12","4","4","-","7","6","145","9.1"
"Evan Engram","TE","JAC","5","8","8","8","8","7","7","10","bye","7","6","8","9","12","6","15","6","13","143","8.4"
"Chris Olave","WR","NO","10","11","11","6","5","10","15","9","8","9","bye","9","8","5","-","13","6","3","138","8.6"
"Adam Thielen","WR","CAR","2","9","14","8","13","13","bye","11","6","10","11","3","6","7","7","8","6","3","137","8.1"
"DeAndre Hopkins","WR","TEN","13","5","7","6","11","5","bye","6","11","9","5","5","12","12","9","4","7","10","137","8.1"
"Mike Evans","WR","TB","10","8","10","3","bye","10","8","6","5","10","12","9","12","6","6","9","4","8","136","8.0"
"Calvin Ridley","WR","JAC","11","8","7","2","8","8","4","10","bye","3","9","6","8","13","12","9","8","10","136","8.0"
"DJ Moore","WR","CHI","2","7","6","9","10","8","9","6","5","9","9","13","bye","10","8","6","13","6","136","8.0"
"Terry McLaurin","WR","WAS","4","6","6","10","5","11","9","12","8","8","7","11","3","bye","12","5","7","8","132","7.8"
"Chris Godwin","WR","TB","6","8","5","11","bye","7","12","7","6","6","7","7","3","11","12","10","5","7","130","7.6"
"Amari Cooper","WR","CLE","7","10","8","6","bye","8","8","11","5","9","8","6","5","14","8","15","-","-","128","8.5"
"T.J. Hockenson","TE","MIN","9","8","11","3","8","8","12","9","12","15","7","6","bye","8","7","4","-","-","127","8.5"
"David Njoku","TE","CLE","3","4","4","7","bye","4","9","8","6","9","15","9","6","8","14","9","8","-","123","7.7"
"Tyler Lockett","WR","SEA","4","10","7","6","bye","8","5","9","8","10","7","5","8","6","9","11","5","4","122","7.2"
"Travis Kelce","TE","KC","-","9","8","9","11","9","13","9","4","bye","9","7","5","10","7","7","4","-","121","8.1"
"Sam LaPorta","TE","DET","5","6","11","5","4","11","7","10","bye","5","5","8","9","6","6","3","12","7","120","7.1"
"DK Metcalf","WR","SEA","5","6","8","4","bye","9","-","14","4","12","9","9","8","5","6","6","8","6","119","7.4"
"DeVonta Smith","WR","PHI","10","5","5","9","5","11","5","7","3","bye","8","8","11","10","5","5","5","-","112","7.0"
"Drake London","WR","ATL","1","8","6","7","9","12","7","7","-","4","bye","7","5","11","3","4","10","9","110","6.9"
"Nico Collins","WR","HOU","11","9","3","9","4","6","bye","6","5","-","11","9","12","1","-","6","8","9","109","7.3"
"Zay Flowers","WR","BAL","10","5","10","4","11","8","6","7","1","6","4","8","bye","10","2","13","3","-","108","6.8"
"Jordan Addison","WR","MIN","6","5","8","1","9","5","10","8","7","7","6","10","bye","3","6","4","5","8","108","6.4"
"George Pickens","WR","PIT","7","10","6","7","10","bye","8","5","5","4","6","5","5","6","7","6","9","0","106","6.2"
"Trey McBride","TE","ARI","2","3","1","1","3","5","6","14","5","9","7","9","9","bye","11","8","7","6","106","6.2"
"Jakobi Meyers","WR","LV","10","-","12","4","10","7","13","1","5","2","5","7","bye","6","4","5","10","5","106","6.6"
"Brandon Aiyuk","WR","SF","8","6","-","6","7","10","6","9","bye","3","6","4","7","9","5","7","8","4","105","6.6"
"Elijah Moore","WR","CLE","7","9","9","4","bye","7","7","5","2","7","7","9","12","6","3","4","6","0","104","6.1"
"Jaylen Waddle","WR","MIA","5","6","-","5","10","9","6","12","6","bye","8","8","8","8","9","4","-","-","104","7.4"
"Rashee Rice","WR","KC","5","2","7","5","5","4","6","5","2","bye","5","10","9","10","9","12","6","-","102","6.4"
