"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","577.9","365.0","4,319.9","32.8","14.7","116.7","631.6","7.1","4.6","386.0"
"Jalen Hurts","PHI","495.9","319.3","3,812.6","23.2","10.2","157.8","748.0","12.5","3.9","377.3"
"Patrick Mahomes II","KC","609.3","405.3","4,660.5","36.3","11.4","64.8","364.2","2.7","2.4","368.3"
"Lamar Jackson","BAL","481.8","305.9","3,522.2","26.2","10.8","148.5","909.6","5.2","4.1","348.6"
"Justin Fields","PIT","419.2","259.6","2,944.8","20.8","12.5","154.1","964.0","6.4","4.1","315.0"
"Dak Prescott","DAL","558.0","368.9","4,237.3","30.4","12.9","59.0","242.1","2.6","3.2","311.3"
"Joe Burrow","CIN","605.8","410.5","4,109.2","29.3","11.7","64.6","215.4","3.0","2.2","305.3"
"Justin Herbert","LAC","636.5","428.7","4,307.3","27.8","11.0","57.4","223.5","1.9","2.3","301.2"
"Trevor Lawrence","JAC","577.8","377.9","4,057.4","25.7","11.8","62.3","298.0","4.1","6.6","294.3"
"Tua Tagovailoa","MIA","541.9","356.8","4,313.1","29.5","12.5","42.5","123.6","1.4","2.9","293.3"
"Jared Goff","DET","574.9","378.3","4,317.6","28.8","11.2","31.7","72.9","1.2","4.3","283.0"
"Geno Smith","SEA","545.5","371.5","3,957.5","25.7","11.0","61.9","286.9","1.9","3.6","282.6"
"Aaron Rodgers","NYJ","576.1","370.2","4,105.1","27.3","8.6","35.3","118.8","1.4","3.3","278.4"
"Russell Wilson","PIT","513.5","323.9","3,684.8","24.7","10.5","63.8","322.2","2.8","3.2","277.8"
"Jordan Love","GB","554.2","352.5","3,977.1","26.3","14.2","44.4","174.7","1.8","3.0","272.6"
"Kirk Cousins","ATL","614.3","407.3","4,047.0","27.5","11.0","29.1","84.0","1.2","3.7","269.0"
"Deshaun Watson","CLE","512.7","327.1","3,275.4","20.6","10.0","102.1","430.0","3.5","2.1","263.2"
"Brock Purdy","SF","449.7","293.4","3,630.1","26.0","9.9","38.6","116.3","2.6","1.7","263.0"
"Sam Howell","SEA","526.8","330.1","3,704.5","21.5","15.2","56.9","240.3","2.4","2.8","252.1"
"Matthew Stafford","LAR","528.1","351.0","4,034.9","24.2","13.2","30.1","71.8","0.7","2.8","250.8"
"Derek Carr","NO","512.8","337.8","3,919.2","23.8","11.2","34.6","109.8","0.8","3.2","250.2"
"Daniel Jones","NYG","521.3","339.7","2,952.9","17.2","8.7","114.1","537.5","3.8","2.8","248.9"
"C.J. Stroud","HOU","528.1","333.8","3,634.7","21.3","12.3","56.3","219.4","2.0","3.3","245.6"
"Anthony Richardson","IND","464.8","283.0","2,520.0","13.8","10.8","157.4","697.3","5.2","1.9","242.5"
"Kenny Pickett","PHI","501.8","317.7","3,088.1","15.7","10.5","67.0","380.1","3.3","1.3","230.9"
"Baker Mayfield","TB","498.8","309.6","3,473.4","21.4","11.9","36.2","130.2","1.3","3.0","227.9"
"Bryce Young","CAR","535.6","334.8","3,584.3","19.6","12.9","46.2","190.9","1.2","3.7","227.7"
"Mac Jones","JAC","519.4","343.6","3,405.6","18.9","13.3","52.5","139.4","0.9","2.4","213.2"
"Kyler Murray","ARI","416.1","273.4","2,651.9","14.1","9.0","77.4","407.2","3.4","1.8","210.9"
"Jimmy Garoppolo","LAR","492.2","325.9","3,279.0","19.9","11.8","30.5","58.8","1.4","2.1","208.7"
"Desmond Ridder","ARI","456.6","283.3","3,062.7","17.8","10.8","40.1","159.6","2.0","4.6","201.9"
"Ryan Tannehill","TEN","446.7","290.4","3,029.5","16.2","10.6","41.6","152.7","2.2","2.2","199.7"
"Aidan O'Connell","LV","301.7","190.6","2,153.3","12.0","8.5","23.7","42.6","0.9","1.9","131.5"
"Zach Wilson","NYJ","217.1","122.9","1,759.4","8.6","6.8","20.7","244.6","1.6","2.9","126.1"
"Joshua Dobbs","MIN","244.3","153.8","1,791.8","9.7","7.8","23.4","140.7","1.6","3.4","119.7"
"Gardner Minshew II","LV","157.6","102.6","1,629.2","8.6","4.4","21.8","88.2","0.9","3.4","102.3"
"Jake Browning","CIN","178.4","112.5","1,434.7","7.2","5.5","26.4","106.4","1.4","0.9","97.5"
"Will Levis","TEN","188.9","120.9","1,438.6","7.8","4.4","19.2","58.8","0.6","2.1","89.5"
"Tommy DeVito","NYG","254.6","161.4","1,373.9","4.6","4.6","41.3","165.2","0.5","1.5","85.5"
"Taylor Heinicke","ATL","172.9","109.8","1,174.8","7.1","4.9","25.7","105.5","0.7","1.5","82.0"
"Joe Flacco","IND","137.7","81.7","1,190.6","6.5","6.9","23.7","26.6","0.1","1.4","67.3"
"Bailey Zappe","NE","170.2","101.3","1,086.5","4.0","7.3","18.7","51.5","0.3","1.6","56.1"
"Tyrod Taylor","NYJ","65.9","42.7","659.4","2.8","2.3","15.0","114.5","0.1","0.4","46.9"
"Kyle Trask","TB","145.9","88.1","745.0","3.3","3.7","10.5","30.7","0.2","0.9","41.4"
"Jacoby Brissett","NE","145.5","82.1","690.1","2.8","2.2","19.2","50.9","0.3","1.1","41.4"
