"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","SF","221.4","1,085.9","8.6","73.5","622.4","4.8","1.0","322.8"
"Austin Ekeler","WAS","188.8","787.2","8.4","71.9","559.9","3.4","2.3","272.6"
"Bijan Robinson","ATL","245.1","1,187.6","8.0","46.4","384.3","2.4","2.4","260.8"
"Tony Pollard","TEN","227.8","1,124.1","8.4","46.5","362.0","2.1","0.8","256.5"
"Saquon Barkley","PHI","252.0","1,087.5","7.5","50.9","353.1","2.0","1.0","250.0"
"Derrick Henry","BAL","308.5","1,296.9","9.5","30.1","244.0","0.6","1.3","242.4"
"Travis Etienne Jr.","JAC","222.3","1,092.6","7.6","40.7","338.5","0.9","2.0","231.2"
"Joe Mixon","HOU","226.4","925.7","7.4","47.9","339.1","2.2","0.5","231.2"
"Josh Jacobs","GB","260.5","1,107.4","8.7","38.5","280.4","0.6","1.1","230.8"
"Jahmyr Gibbs","DET","171.5","810.2","7.3","47.7","421.5","2.4","1.5","226.0"
"Rachaad White","TB","216.2","930.8","4.8","50.3","407.6","2.2","3.3","219.4"
"Breece Hall","NYJ","175.2","892.3","5.7","44.9","378.8","2.3","1.1","217.7"
"Aaron Jones","MIN","198.9","918.1","4.6","44.5","325.6","2.3","1.4","207.4"
"Nick Chubb","CLE","284.8","1,158.2","7.5","22.8","187.0","0.8","0.6","206.1"
"Najee Harris","PIT","247.7","968.5","6.3","37.4","232.6","1.7","1.0","203.9"
"James Conner","ARI","213.6","905.2","6.7","37.6","267.2","1.3","0.7","201.6"
"Kenneth Walker III","SEA","227.2","1,002.7","8.2","26.6","187.4","0.7","0.4","197.9"
"Alvin Kamara","NO","181.4","745.7","4.2","48.4","405.3","1.8","1.0","197.3"
"Rhamondre Stevenson","NE","188.0","818.9","4.8","50.1","298.9","1.1","1.0","195.3"
"James Cook","BUF","167.6","905.5","4.3","36.8","302.6","2.2","1.6","193.3"
"David Montgomery","DET","198.7","840.8","8.0","29.9","257.6","1.0","1.1","191.2"
"Isiah Pacheco","KC","195.7","911.6","7.5","27.5","199.2","0.9","1.5","185.8"
"Raheem Mostert","MIA","171.6","851.4","7.1","27.1","195.3","1.7","1.1","182.4"
"D'Andre Swift","CHI","125.3","684.0","5.6","37.5","315.7","1.9","1.0","180.9"
"Javonte Williams","DEN","177.4","786.0","4.4","37.0","239.9","1.7","1.4","173.1"
"Dameon Pierce","HOU","249.3","911.3","4.5","29.0","176.7","0.8","1.2","166.7"
"Jonathan Taylor","IND","204.6","906.0","6.0","20.4","161.8","0.6","1.1","164.6"
"Miles Sanders","CAR","205.4","854.4","4.2","32.1","197.2","0.5","1.5","162.7"
"Kyren Williams","LAR","123.4","730.1","5.9","21.4","220.9","1.4","1.3","157.8"
"Cam Akers","MIN","230.6","797.7","5.6","21.3","171.5","0.5","1.0","152.6"
"J.K. Dobbins","BAL","188.5","731.8","5.8","21.1","152.3","1.4","0.5","151.5"
"Brian Robinson Jr.","WAS","212.5","839.8","4.2","20.2","145.4","1.3","1.0","149.4"
"Antonio Gibson","NE","137.9","506.1","3.1","44.0","302.4","1.5","1.3","149.3"
"Khalil Herbert","CHI","173.4","812.3","4.5","21.1","136.6","0.8","0.6","146.4"
"Jaylen Warren","PIT","114.8","589.1","4.5","33.6","239.1","0.4","0.7","144.4"
"AJ Dillon","GB","165.3","696.6","4.8","23.9","190.0","0.5","0.5","143.0"
"Samaje Perine","DEN","151.0","588.5","3.3","32.6","251.1","1.2","0.9","141.5"
