Player,PassTD,INT,SACKS,RecTD,RUSH_ATT,RushTD,RUSH_RECEIVE_TD,TD.1,LG,20+,FL,FPTS,FPTS/G,ROST,AIR/A,PKT TIME,SK,KNCK,HRRY,BLITZ,POOR,RZ ATT,RTG,CMP,PassATT,PCT,PassYDS,Y/A,Y/ATT,YBCON,YBCON/ATT,YACON/ATT,TK LOSS,TK LOSS YDS,LNG TD,YACON.1,RushATT,RushYDS,YBC,YBC/R,AIR/R,YAC,YAC/R,YACON/R,% TM,CATCHABLE,RecYDS,Y/R,AIR,DROP,YACON,BRKTKL,LNG,RZ TGT,REC,TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,Rank,G,Pos,Team,week1Targets,week2Targets,week3Targts,week4Targets,week5Targets,week6Targets,week7Targets,week8Targets,week9Targets,week10Targets,week11Targets,week12Targets,week13Targets,week14Targets,week15Targets,week16Targets,week17Targets,week18Targets,TTL,AVG
A.J. Brown,,,,7.0,0,0.0,,,59.0,34.0,2.0,289.6,17.0,100.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,983,9.3,17.5,473.0,4.5,2.0,30.1%,111.0,"1,456",13.7,"1,852",7.0,215.0,9.0,59.0,15.0,106.0,158.0,62.0,21.0,9.0,3.0,1.0,5.0,17.0,WR,PHI,10,6,14,13,8,9,15,8,9,bye,4,9,13,13,10,11,5,1,158.0,9.3
A.T. Perry,,,,4.0,0,0.0,,,44.0,9.0,0.0,60.6,6.1,0.8%,,,,,,,,,,,,,,,,,,,,,,,,0.0,226,18.8,24.4,20.0,1.7,0.5,3.1%,13.0,246,20.5,293,1.0,6.0,0.0,44.0,4.0,12.0,18.0,9.0,5.0,3.0,1.0,0.0,97.0,10.0,WR,NO,-,-,-,-,-,-,-,0,0,4,bye,2,3,1,2,1,2,3,18.0,1.8
AJ Dillon,,,,,,,2.0,0.0,40.0,3.0,0.0,117.6,7.8,62.5%,,,,,,,,,,,,,,3.4,3.4,316.0,1.8,1.7,15.0,-39.0,5.0,101.0,178.0,613,,,,,,,,,223.0,10.1,,,297.0,5.0,40.0,1.0,22.0,28.0,8.0,1.0,1.0,1.0,0.0,42.0,15.0,RB,GB,3,1,0,1,1,bye,2,5,1,3,4,3,1,3,-,0,0,-,28.0,1.9
AJ McCarron,0.0,0.0,1.0,,,0.0,,,,,0.0,0.8,0.4,0.0%,1.0,2.3,1.0,0.0,0.0,3.0,1.0,0.0,82.0,4.0,5.0,80.0,19,3.8,,,,,,,,,0.0,0.0,,,,,,,,,,,5,0.0,,,,,,,1.0,0.0,0.0,0.0,0.0,74.0,2.0,,,,,,,,,,,,,,,,,,,,,,
Aaron Jones,,,,,,,2.0,1.0,39.0,4.0,1.0,134.9,12.3,94.5%,,,,,,,,,,,,,,4.6,4.6,346.0,2.4,2.2,11.0,-18.0,3.0,47.0,142.0,656,,,,,,,,,233.0,7.8,,,310.0,11.0,39.0,10.0,30.0,43.0,15.0,3.0,1.0,0.0,0.0,37.0,11.0,RB,GB,4,-,-,2,-,bye,5,5,6,6,2,-,-,-,4,3,1,5,43.0,3.9
Aaron Rodgers,0.0,0.0,1.0,,,0.0,,,,,0.0,0.0,0.0,17.9%,0.0,3.2,1.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,1.0,0.0,0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,83.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Aaron Shampklin,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,159.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Adam Froman,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0,0.0%,,,,,,,,,,0.0,0.0,0.0,0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,102.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Adam Prentice,,,,,,,0.0,0.0,7.0,0.0,1.0,2.4,0.2,0.0%,,,,,,,,,,,,,,6.0,6.0,10.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,12,,,,,,,,,12.0,6.0,,,2.0,0.0,7.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,134.0,13.0,RB,NO,0,0,0,2,0,-,-,-,-,0,bye,0,0,0,0,0,1,0,3.0,0.2
Adam Thielen,,,,4.0,1,0.0,,,32.0,12.0,0.0,231.0,13.6,87.2%,,,,,,,,,,,,,,,,,,,,,,,,6.0,669,6.5,10.0,345.0,3.3,0.6,25.7%,110.0,"1,014",9.8,"1,029",7.0,66.0,2.0,32.0,14.0,103.0,137.0,40.0,9.0,3.0,0.0,0.0,17.0,17.0,WR,CAR,2,9,14,8,13,13,bye,11,6,10,11,3,6,7,7,8,6,3,137.0,8.1
