Player                   ,Pos ,Team ,week1Targets ,week2Targets ,week3Targts ,week4Targets ,week5Targets ,week6Targets ,week7Targets ,week8Targets ,week9Targets ,week10Targets ,week11Targets ,week12Targets ,week13Targets ,week14Targets ,week15Targets ,week16Targets ,week17Targets ,week18Targets ,TTL   ,AVG  ,player_gsis_id ,season_x ,season_type ,week_x                                                                   ,player_display_name      ,player_position ,team_abbr ,avg_cushion        ,avg_separation     ,avg_intended_air_yards ,percent_share_of_intended_air_yards ,receptions ,targets ,catch_percentage    ,yards  ,rec_touchdowns ,avg_yac             ,avg_expected_yac    ,avg_yac_above_expectation ,player_first_name      ,player_last_name ,player_jersey_number ,player_short_name  ,parsed_weeks                                             ,season_y ,club_code ,week_y ,game_type ,depth_team ,last_name ,first_name ,football_name ,formation ,gsis_id ,jersey_number ,position ,elias_id ,depth_position ,full_name ,catch_rate          ,player_gsis_id_qb ,season ,season_type_qb ,player_display_name_qb ,player_position_qb ,team_abbr_qb ,avg_time_to_throw ,avg_completed_air_yards ,avg_intended_air_yards_qb ,avg_air_yards_differential ,aggressiveness ,max_completed_air_distance ,avg_air_yards_to_sticks ,attempts ,pass_yards ,pass_touchdowns ,interceptions ,passer_rating ,completions ,completion_percentage ,expected_completion_percentage ,completion_percentage_above_expectation ,avg_air_distance ,max_air_distance ,player_first_name_qb ,player_last_name_qb ,player_jersey_number_qb ,player_short_name_qb ,week ,parsed_weeks_qb
CeeDee Lamb              ,WR  ,DAL  ,         4.0 ,        13.0 ,        7.0 ,         6.0 ,         5.0 ,         7.0 ,         0.0 ,        14.0 ,        16.0 ,         14.0 ,          9.0 ,          9.0 ,         17.0 ,         10.0 ,         10.0 ,         10.0 ,         17.0 ,         13.0 ,181.0 ,10.6 ,00-0036358     ,    2023 ,REG         ,"0, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19"         ,CeeDee Lamb              ,WR              ,DAL       ,5.779316535452565  ,2.655665036037914  ,    9.895732069479347  ,                37.17133102005903   ,       275 ,    375 , 72.064298287825    ,3531.0 ,            24 , 4.849186458603125  , 4.35877110548727   ,0.4904153531158551        ,Cedarian               ,Lamb             ,                  88 ,C.Lamb             ,"[0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]" ,         ,          ,       ,          ,           ,          ,           ,              ,          ,        ,              ,         ,         ,               ,          , 73.33333333333333  ,                  ,       ,               ,                       ,                   ,             ,                  ,                        ,                          ,                           ,               ,                           ,                        ,         ,           ,                ,              ,              ,            ,                      ,                               ,                                        ,                 ,                 ,                     ,                    ,                        ,                     ,     ,
Davante Adams            ,WR  ,LV   ,         9.0 ,         8.0 ,       20.0 ,        13.0 ,         4.0 ,         5.0 ,        12.0 ,         7.0 ,         7.0 ,         13.0 ,         13.0 ,          7.0 ,          0.0 ,         10.0 ,         12.0 ,          6.0 ,         21.0 ,          8.0 ,175.0 ,10.3 ,00-0031381     ,    2023 ,REG         ,"0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18"              ,Davante Adams            ,WR              ,LV        ,5.216489578017441  ,2.4726740128662104 ,   10.621177156503627  ,                46.43406067847678   ,       202 ,    346 , 55.646520146520146 ,2243.0 ,            16 , 3.2496502940235095 , 3.0560528289461746 ,0.1935974650773349        ,Davante                ,Adams            ,                  17 ,D.Adams            ,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]" ,         ,          ,       ,          ,           ,          ,           ,              ,          ,        ,              ,         ,         ,               ,          , 58.38150289017341  ,                  ,       ,               ,                       ,                   ,             ,                  ,                        ,                          ,                           ,               ,                           ,                        ,         ,           ,                ,              ,              ,            ,                      ,                               ,                                        ,                 ,                 ,                     ,                    ,                        ,                     ,     ,
Tyreek Hill              ,WR  ,MIA  ,        15.0 ,         9.0 ,       11.0 ,         5.0 ,         9.0 ,        10.0 ,        15.0 ,        13.0 ,        10.0 ,          0.0 ,         11.0 ,         12.0 ,          7.0 ,          5.0 ,          0.0 ,         14.0 ,         12.0 ,         13.0 ,171.0 ,10.7 ,00-0033040     ,    2023 ,REG         ,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 19"           ,Tyreek Hill              ,WR              ,MIA       ,5.7136431993932    ,3.2470558920818595 ,   11.082466005729165  ,                43.38116124665304   ,       243 ,    350 , 69.5571071228966   ,3660.0 ,            27 , 5.809445800205604  , 4.951380325538433  ,0.8580654746671709        ,Tyreek                 ,Hill             ,                  10 ,T.Hill             ,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1]" ,         ,          ,       ,          ,           ,          ,           ,              ,          ,        ,              ,         ,         ,               ,          , 69.42857142857143  ,                  ,       ,               ,                       ,                   ,             ,                  ,                        ,                          ,                           ,               ,                           ,                        ,         ,           ,                ,              ,              ,            ,                      ,                               ,                                        ,                 ,                 ,                     ,                    ,                        ,                     ,     ,
Garrett Wilson           ,WR  ,NYJ  ,         5.0 ,         8.0 ,        9.0 ,        14.0 ,         7.0 ,        12.0 ,         0.0 ,        13.0 ,        13.0 ,         14.0 ,          8.0 ,         10.0 ,          7.0 ,         14.0 ,          4.0 ,         15.0 ,         10.0 ,          5.0 ,168.0 , 9.9 ,00-0037740     ,    2023 ,REG         ,"0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18"              ,Garrett Wilson           ,WR              ,NYJ       ,5.415730976894659  ,2.434368748952963  ,   10.455540041657688  ,                47.76978475679968   ,       187 ,    332 , 55.00197514903397  ,2055.0 ,             6 , 4.633765320163153  , 3.5774369657208593 ,1.0563283544422937        ,Garrett                ,Wilson           ,                  17 ,G.Wilson           ,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]" ,         ,          ,       ,          ,           ,          ,           ,              ,          ,        ,              ,         ,         ,               ,          , 56.325301204819276 ,                  ,       ,               ,                       ,                   ,             ,                  ,                        ,                          ,                           ,               ,                           ,                        ,         ,           ,                ,              ,              ,            ,                      ,                               ,                                        ,                 ,                 ,                     ,                    ,                        ,                     ,     ,
Amon-Ra St. Brown        ,WR  ,DET  ,         9.0 ,         7.0 ,       12.0 ,         7.0 ,         0.0 ,        15.0 ,        19.0 ,         9.0 ,         0.0 ,          9.0 ,         11.0 ,         11.0 ,          6.0 ,          8.0 ,          9.0 ,         14.0 ,          8.0 ,         10.0 ,164.0 ,10.3 ,00-0036963     ,    2023 ,REG         ,"0, 1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21" ,Amon-Ra St. Brown        ,WR              ,DET       ,6.622530541398305  ,3.171687969192068  ,    8.037158418982601  ,                33.59279151715388   ,       260 ,    362 , 70.38874787671321  ,3304.0 ,            21 , 6.2397963666235725 , 5.121209337426077  ,1.1185870291974958        ,Amon-Ra                ,St. Brown        ,                  14 ,A.St. Brown        ,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]" ,         ,          ,       ,          ,           ,          ,           ,              ,          ,        ,              ,         ,         ,               ,          , 71.8232044198895   ,                  ,       ,               ,                       ,                   ,             ,                  ,                        ,                          ,                           ,               ,                           ,                        ,         ,           ,                ,              ,              ,            ,                      ,                               ,                                        ,                 ,                 ,                     ,                    ,                        ,                     ,     ,
Puka Nacua               ,WR  ,LAR  ,        15.0 ,        20.0 ,        7.0 ,        10.0 ,        11.0 ,         7.0 ,        12.0 ,         7.0 ,         7.0 ,          0.0 ,          7.0 ,          8.0 ,          7.0 ,          9.0 ,          8.0 ,         11.0 ,          8.0 ,          6.0 ,160.0 , 9.4 ,00-0039075     ,    2023 ,REG         ,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19"       ,Puka Nacua               ,WR              ,LAR       ,6.0463428527459    ,2.8114000302811677 ,    9.00349190685046   ,                32.81223823582093   ,       219 ,    330 , 65.23643388774967  ,3153.0 ,            13 , 6.788228696741855  , 4.646666905792684  ,2.1415617909491704        ,Puka                   ,Nacua            ,                  17 ,P.Nacua            ,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]" ,         ,          ,       ,          ,           ,          ,           ,              ,          ,        ,              ,         ,         ,               ,          , 66.36363636363637  ,                  ,       ,               ,                       ,                   ,             ,                  ,                        ,                          ,                           ,               ,                           ,                        ,         ,           ,                ,              ,              ,            ,                      ,                               ,                                        ,                 ,                 ,                     ,                    ,                        ,                     ,     ,
Stefon Diggs             ,WR  ,BUF  ,        13.0 ,         7.0 ,       12.0 ,         7.0 ,        11.0 ,        16.0 ,        12.0 ,        12.0 ,         7.0 ,          5.0 ,          8.0 ,         11.0 ,          0.0 ,         11.0 ,          5.0 ,          8.0 ,          7.0 ,          8.0 ,160.0 , 9.4 ,00-0031588     ,    2023 ,REG         ,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20"   ,Stefon Diggs             ,WR              ,BUF       ,5.915013512876013  ,2.936511371580388  ,    9.61047535624098   ,                33.3891251098332    ,       224 ,    337 , 67.27251567876569  ,2439.0 ,            16 , 4.509935480640854  , 3.7442581184116497 ,0.7656773622292048        ,Stefon                 ,Diggs            ,                  14 ,S.Diggs            ,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]" ,         ,          ,       ,          ,           ,          ,           ,              ,          ,        ,              ,         ,         ,               ,          , 66.46884272997032  ,                  ,       ,               ,                       ,                   ,             ,                  ,                        ,                          ,                           ,               ,                           ,                        ,         ,           ,                ,              ,              ,            ,                      ,                               ,                                        ,                 ,                 ,                     ,                    ,                        ,                     ,     ,
A.J. Brown               ,WR  ,PHI  ,        10.0 ,         6.0 ,       14.0 ,        13.0 ,         8.0 ,         9.0 ,        15.0 ,         8.0 ,         9.0 ,          0.0 ,          4.0 ,          9.0 ,         13.0 ,         13.0 ,         10.0 ,         11.0 ,          5.0 ,          1.0 ,158.0 , 9.3 ,00-0035676     ,    2023 ,REG         ,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 16, 17"                   ,A.J. Brown               ,WR              ,PHI       ,6.725554906898656  ,2.519404745157237  ,   12.135434326068625  ,                44.69161312574307   ,       210 ,    311 , 69.08526380440938  ,2895.0 ,            14 , 4.431080609838275  , 2.773165951733344  ,1.6579146581049302        ,Arthur                 ,Brown            ,                  11 ,A.Brown            ,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0]" ,         ,          ,       ,          ,           ,          ,           ,              ,          ,        ,              ,         ,         ,               ,          , 67.52411575562701  ,                  ,       ,               ,                       ,                   ,             ,                  ,                        ,                          ,                           ,               ,                           ,                        ,         ,           ,                ,              ,              ,            ,                      ,                               ,                                        ,                 ,                 ,                     ,                    ,                        ,                     ,     ,
Keenan Allen             ,WR  ,LAC  ,         9.0 ,        10.0 ,       20.0 ,         5.0 ,         0.0 ,        11.0 ,         9.0 ,        10.0 ,         9.0 ,         14.0 ,         16.0 ,         16.0 ,          9.0 ,         12.0 ,          0.0 ,          0.0 ,          0.0 ,          0.0 ,150.0 ,11.5 ,00-0030279     ,    2023 ,REG         ,"0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14"                          ,Keenan Allen             ,WR              ,LAC       ,6.667175446351199  ,2.9927404079887028 ,    9.962306403318903  ,                38.667145806242885  ,       216 ,    300 , 69.98309626881056  ,2486.0 ,            14 , 3.855681388717103  , 3.97840072319842   ,-0.1227193344813169       ,Keenan                 ,Allen            ,                  13 ,K.Allen            ,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]" ,         ,          ,       ,          ,           ,          ,           ,              ,          ,        ,              ,         ,         ,               ,          , 72.0               ,                  ,       ,               ,                       ,                   ,             ,                  ,                        ,                          ,                           ,               ,                           ,                        ,         ,           ,                ,              ,              ,            ,                      ,                               ,                                        ,                 ,                 ,                     ,                    ,                        ,                     ,     ,
Ja'Marr Chase            ,WR  ,CIN  ,         9.0 ,         8.0 ,       15.0 ,         9.0 ,        19.0 ,        13.0 ,         0.0 ,        12.0 ,         8.0 ,          6.0 ,          7.0 ,          6.0 ,         12.0 ,          4.0 ,          4.0 ,          0.0 ,          7.0 ,          6.0 ,145.0 , 9.1 ,00-0036900     ,    2023 ,REG         ,"0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 17, 18"                      ,Ja'Marr Chase            ,WR              ,CIN       ,5.8391218766531745 ,3.0316762980794687 ,    8.575280306646368  ,                36.559524909579245  ,       193 ,    282 , 65.53302021632331  ,2339.0 ,            14 , 5.651946118326119  , 4.1036746914578535 ,1.5482714268682654        ,Ja'Marr                ,Chase            ,                   1 ,J.Chase            ,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1]" ,         ,          ,       ,          ,           ,          ,           ,              ,          ,        ,              ,         ,         ,               ,          , 68.43971631205675  ,                  ,       ,               ,                       ,                   ,             ,                  ,                        ,                          ,                           ,               ,                           ,                        ,         ,           ,                ,              ,              ,            ,                      ,                               ,                                        ,                 ,                 ,                     ,                    ,                        ,                     ,     ,
