season ,season_type ,week ,player_display_name   ,player_position ,team_abbr ,efficiency          ,percent_attempts_gte_eight_defenders ,avg_time_to_los    ,rush_attempts ,rush_yards ,expected_rush_yards ,rush_yards_over_expected ,avg_rush_yards      ,rush_yards_over_expected_per_att ,rush_pct_over_expected ,rush_touchdowns ,player_gsis_id ,player_first_name ,player_last_name ,player_jersey_number ,player_short_name ,Player_x              ,Team_x ,ATT   ,YDS       ,TDS ,REC_x ,YDS.1 ,TDS.1 ,FL_x ,FPTS_x ,Oline_Rank ,depth_chart_num ,Player_y              ,PassTD ,INT ,SACKS ,RecTD ,RUSH_ATT ,RushTD ,RUSH_RECEIVE_TD ,TD.1 ,LG   ,20+  ,FL_y ,FPTS_y ,FPTS/G ,ROST   ,AIR/A ,PKT TIME ,SK ,KNCK ,HRRY ,BLITZ ,POOR ,RZ ATT ,RTG ,CMP ,PassATT ,PCT ,PassYDS ,Y/A ,Y/ATT ,YBCON ,YBCON/ATT ,YACON/ATT ,TK LOSS ,TK LOSS YDS ,LNG TD ,YACON.1 ,RushATT ,RushYDS ,YBC ,YBC/R ,AIR/R ,YAC ,YAC/R ,YACON/R ,% TM ,CATCHABLE ,RecYDS ,Y/R  ,AIR ,DROP ,YACON ,BRKTKL ,LNG  ,RZ TGT ,REC_y ,TGT  ,10+ YDS ,20+ YDS ,30+ YDS ,40+ YDS ,50+ YDS ,Rank  ,G    ,Pos ,Team_y ,week1Targets ,week2Targets ,week3Targts ,week4Targets ,week5Targets ,week6Targets ,week7Targets ,week8Targets ,week9Targets ,week10Targets ,week11Targets ,week12Targets ,week13Targets ,week14Targets ,week15Targets ,week16Targets ,week17Targets ,week18Targets ,TTL  ,AVG
  2023 ,REG         ,   1 ,Jerome Ford           ,RB              ,CLE       , 6.733055555555556  ,                 20.0                ,3.1588333333333325 ,           15 ,        36 , 57.46112234227186  ,-24.461122342271857      , 2.4                ,-1.7472230244479898              ,    0.1428571428571428 ,              0 ,00-0037267     ,Jerome            ,Ford             ,                  34 ,J.Ford            ,Jerome Ford           ,CLE    ,121.5 ,587.7     ,3.3 , 20.4 ,170.4 ,  1.7 , 1.2 , 123.9 ,        22 ,2               ,Jerome Ford           ,       ,    ,      ,      ,         ,       ,            4.0 , 5.0 ,69.0 ,11.0 , 1.0 , 211.2 ,  12.4 ,82.9%  ,      ,         ,   ,     ,     ,      ,     ,       ,    ,    ,        ,    ,        ,4.0 ,  4.0 ,500.0 ,      2.5 ,      1.5 ,   34.0 ,-91.0       ,  69.0 ,   81.0 ,  204.0 ,813     ,    ,      ,      ,    ,      ,        ,     ,          , 319.0 , 7.3 ,    ,     ,313.0 ,  21.0 ,69.0 ,   6.0 , 44.0 ,63.0 ,   23.0 ,    5.0 ,    2.0 ,    2.0 ,    2.0 , 16.0 ,17.0 ,RB  ,CLE    ,0            ,4            ,3           ,6            ,bye          ,2            ,4            ,2            ,7            ,1             ,5             ,7             ,3             ,6             ,5             ,2             ,3             ,3             ,63.0 ,3.7
  2023 ,REG         ,   1 ,Christian McCaffrey   ,RB              ,SF        , 3.061315789473684  ,                 68.18181818181817   ,2.821111111111111  ,           22 ,       152 , 95.6951688934466   ,56.30483110655341        , 6.909090909090909  ,2.559310504843337                ,    0.5454545454545454 ,              1 ,00-0033280     ,Christian         ,McCaffrey        ,                  23 ,C.McCaffrey       ,Christian McCaffrey   ,SF     ,221.4 ,"1,085.9" ,8.6 , 73.5 ,622.4 ,  4.8 , 1.0 , 322.8 ,        21 ,1               ,Christian McCaffrey   ,       ,    ,      ,      ,         ,       ,           14.0 , 7.0 ,72.0 ,19.0 , 2.0 , 391.3 ,  24.5 ,97.9%  ,      ,         ,   ,     ,     ,      ,     ,       ,    ,    ,        ,    ,        ,5.4 ,  5.4 ,886.0 ,      3.3 ,      2.1 ,   25.0 ,-54.0       ,  65.0 ,   73.0 ,  272.0 ,"1,459" ,    ,      ,      ,    ,      ,        ,     ,          , 564.0 , 8.4 ,    ,     ,573.0 ,  13.0 ,72.0 ,  16.0 , 67.0 ,83.0 ,   44.0 ,    9.0 ,    4.0 ,    3.0 ,    3.0 ,  1.0 ,16.0 ,RB  ,SF     ,5            ,3            ,5           ,8            ,3            ,3            ,3            ,7            ,bye          ,10            ,5             ,6             ,4             ,1             ,5             ,10            ,5             ,-             ,83.0 ,5.2
  2023 ,REG         ,   1 ,Joshua Kelley         ,RB              ,LAC       , 2.75934065934066   ,                  0.0                ,2.472625           ,           16 ,        91 , 79.6094688511179   ,11.390531148882104       , 5.6875             ,0.7119081968051315               ,    0.5                ,              1 ,00-0036370     ,Joshua            ,Kelley           ,                  25 ,J.Kelley          ,Joshua Kelley         ,LAC    , 98.6 ,389.9     ,2.2 , 12.6 , 96.6 ,  0.2 , 1.0 ,  73.5 ,        16 ,2               ,Joshua Kelley         ,       ,    ,      ,      ,         ,       ,            2.0 , 0.0 ,49.0 , 4.0 , 1.0 ,  61.7 ,   3.6 ,11.0%  ,      ,         ,   ,     ,     ,      ,     ,       ,    ,    ,        ,    ,        ,3.8 ,  3.8 ,222.0 ,      2.1 ,      1.7 ,   10.0 ,-26.0       ,  49.0 ,    1.0 ,  107.0 ,405     ,    ,      ,      ,    ,      ,        ,     ,          ,  32.0 , 4.0 ,    ,     ,183.0 ,   6.0 ,49.0 ,   1.0 ,  8.0 ,12.0 ,   10.0 ,    2.0 ,    1.0 ,    1.0 ,    0.0 , 60.0 ,17.0 ,RB  ,LAC    ,1            ,1            ,1           ,0            ,bye          ,2            ,0            ,0            ,1            ,0             ,0             ,2             ,3             ,0             ,1             ,0             ,0             ,0             ,12.0 ,0.7
  2023 ,REG         ,   1 ,Saquon Barkley        ,RB              ,NYG       , 3.2550980392156865 ,                 50.0                ,2.515181818181818  ,           12 ,        51 , 46.9264734803952   ,4.073526519604798        , 4.25               ,0.3394605433003998               ,    0.4166666666666667 ,              0 ,00-0034844     ,Saquon            ,Barkley          ,                  26 ,S.Barkley         ,Saquon Barkley        ,PHI    ,252.0 ,"1,087.5" ,7.5 , 50.9 ,353.1 ,  2.0 , 1.0 , 250.0 ,        30 ,1               ,Saquon Barkley        ,       ,    ,      ,      ,         ,       ,            6.0 , 4.0 ,36.0 ,12.0 , 2.0 , 223.2 ,  15.9 ,100.0% ,      ,         ,   ,     ,     ,      ,     ,       ,    ,    ,        ,    ,        ,3.9 ,  3.9 ,509.0 ,      2.1 ,      1.8 ,   38.0 ,-80.0       ,   7.0 ,   33.0 ,  247.0 ,962     ,    ,      ,      ,    ,      ,        ,     ,          , 280.0 , 6.8 ,    ,     ,453.0 ,  12.0 ,36.0 ,   5.0 , 41.0 ,60.0 ,   26.0 ,    7.0 ,    5.0 ,    0.0 ,    0.0 , 13.0 ,14.0 ,RB  ,NYG    ,4            ,7            ,-           ,-            ,-            ,5            ,4            ,5            ,4            ,3             ,5             ,3             ,bye           ,4             ,2             ,6             ,6             ,2             ,60.0 ,4.3
  2023 ,REG         ,   1 ,Joe Mixon             ,RB              ,CIN       , 3.5201785714285707 ,                  0.0                ,3.062583333333334  ,           13 ,        56 , 36.23243070343225  ,19.76756929656775        , 4.3076923076923075 ,1.5205822535821345               ,    0.6153846153846154 ,              0 ,00-0033897     ,Joe               ,Mixon            ,                  28 ,J.Mixon           ,Joe Mixon             ,HOU    ,226.4 ,925.7     ,7.4 , 47.9 ,339.1 ,  2.2 , 0.5 , 231.2 ,        26 ,-1              ,Joe Mixon             ,       ,    ,      ,      ,         ,       ,            9.0 , 3.0 ,44.0 , 5.0 , 0.0 , 267.0 ,  15.7 ,98.8%  ,      ,         ,   ,     ,     ,      ,     ,       ,    ,    ,        ,    ,        ,4.0 ,  4.0 ,671.0 ,      2.6 ,      1.4 ,   22.0 ,-47.0       ,  14.0 ,  133.0 ,  257.0 ,"1,034" ,    ,      ,      ,    ,      ,        ,     ,          , 376.0 , 7.2 ,    ,     ,363.0 ,  10.0 ,44.0 ,  13.0 , 52.0 ,64.0 ,   27.0 ,    3.0 ,    1.0 ,    1.0 ,    0.0 ,  6.0 ,17.0 ,RB  ,CIN    ,5            ,5            ,2           ,1            ,4            ,4            ,bye          ,3            ,6            ,3             ,5             ,2             ,7             ,4             ,3             ,4             ,4             ,2             ,64.0 ,3.8
  2023 ,REG         ,   1 ,A.J. Dillon           ,RB              ,GB        , 9.712105263157891  ,                 23.076923076923077  ,2.6662000000000003 ,           13 ,        19 , 38.16416825597883  ,-21.164168255978836      , 1.4615384615384617 ,-1.7636806879982363              ,    0.3333333333333333 ,              0 ,00-0036265     ,Algiers           ,Dillon           ,                  28 ,A.Dillon          ,                      ,       ,      ,          ,    ,      ,      ,      ,     ,       ,        11 ,2               ,                      ,       ,    ,      ,      ,         ,       ,                ,     ,     ,     ,     ,       ,       ,       ,      ,         ,   ,     ,     ,      ,     ,       ,    ,    ,        ,    ,        ,    ,      ,      ,          ,          ,        ,            ,       ,        ,        ,        ,    ,      ,      ,    ,      ,        ,     ,          ,       ,     ,    ,     ,      ,       ,     ,       ,      ,     ,        ,        ,        ,        ,        ,      ,     ,    ,       ,             ,             ,            ,             ,             ,             ,             ,             ,             ,              ,              ,              ,              ,              ,              ,              ,              ,              ,     , 
  2023 ,REG         ,   1 ,Dameon Pierce         ,RB              ,HOU       , 4.587105263157895  ,                 45.45454545454545   ,2.9263636363636363 ,           11 ,        38 , 33.29630226903055  ,1.703697730969452        , 3.4545454545454546 ,0.1703697730969452               ,    0.5                ,              0 ,00-0037258     ,Dameon            ,Pierce           ,                  31 ,D.Pierce          ,Dameon Pierce         ,HOU    ,249.3 ,911.3     ,4.5 , 29.0 ,176.7 ,  0.8 , 1.2 , 166.7 ,        15 ,1               ,Dameon Pierce         ,       ,    ,      ,      ,         ,       ,            2.0 , 0.0 ,22.0 , 1.0 , 0.0 ,  82.7 ,   5.9 ,56.5%  ,      ,         ,   ,     ,     ,      ,     ,       ,    ,    ,        ,    ,        ,2.9 ,  2.9 ,179.0 ,      1.2 ,      1.6 ,   20.0 ,-48.0       ,   3.0 ,   13.0 ,  145.0 ,416     ,    ,      ,      ,    ,      ,        ,     ,          , 101.0 , 7.8 ,    ,     ,237.0 ,  12.0 ,22.0 ,   1.0 , 13.0 ,17.0 ,    9.0 ,    1.0 ,    0.0 ,    0.0 ,    0.0 , 55.0 ,14.0 ,RB  ,HOU    ,3            ,3            ,3           ,2            ,1            ,0            ,bye          ,0            ,-            ,-             ,-             ,1             ,0             ,1             ,0             ,2             ,1             ,0             ,17.0 ,1.2
  2023 ,REG         ,   1 ,Javonte Williams      ,RB              ,DEN       , 4.644230769230769  ,                  0.0                ,3.0411818181818187 ,           13 ,        52 , 57.33428529401541  ,-5.334285294015409       , 4.0                ,-0.4103296380011852              ,    0.3076923076923077 ,              0 ,00-0036997     ,Javonte           ,Williams         ,                  33 ,J.Williams        ,Javonte Williams      ,DEN    ,177.4 ,786.0     ,4.4 , 37.0 ,239.9 ,  1.7 , 1.4 , 173.1 ,         7 ,1               ,Javonte Williams      ,       ,    ,      ,      ,         ,       ,            3.0 , 2.0 ,21.0 , 2.0 , 1.0 , 179.2 ,  11.2 ,89.3%  ,      ,         ,   ,     ,     ,      ,     ,       ,    ,    ,        ,    ,        ,3.6 ,  3.6 ,435.0 ,      2.0 ,      1.6 ,   25.0 ,-55.0       ,   3.0 ,   53.0 ,  217.0 ,774     ,    ,      ,      ,    ,      ,        ,     ,          , 228.0 , 4.9 ,    ,     ,339.0 ,  10.0 ,21.0 ,   3.0 , 47.0 ,58.0 ,   21.0 ,    2.0 ,    0.0 ,    0.0 ,    0.0 , 29.0 ,16.0 ,RB  ,DEN    ,6            ,3            ,3           ,3            ,-            ,0            ,4            ,3            ,bye          ,4             ,2             ,6             ,3             ,4             ,2             ,3             ,3             ,9             ,58.0 ,3.6
  2023 ,REG         ,   1 ,Austin Ekeler         ,RB              ,LAC       , 2.302820512820512  ,                 25.0                ,2.4884666666666666 ,           16 ,       117 , 62.22347306108888  ,54.77652693891112        , 7.3125             ,3.423532933681945                ,    0.5625             ,              1 ,00-0033699     ,Austin            ,Ekeler           ,                  30 ,A.Ekeler          ,Austin Ekeler         ,WAS    ,188.8 ,787.2     ,8.4 , 71.9 ,559.9 ,  3.4 , 2.3 , 272.6 ,        16 ,1               ,Austin Ekeler         ,       ,    ,      ,      ,         ,       ,            5.0 , 1.0 ,55.0 , 7.0 , 4.0 , 185.4 ,  13.2 ,99.1%  ,      ,         ,   ,     ,     ,      ,     ,       ,    ,    ,        ,    ,        ,3.5 ,  3.5 ,357.0 ,      2.0 ,      1.5 ,   16.0 ,-40.0       ,   3.0 ,  124.0 ,  179.0 ,628     ,    ,      ,      ,    ,      ,        ,     ,          , 436.0 , 8.5 ,    ,     ,271.0 ,   9.0 ,55.0 ,   9.0 , 51.0 ,74.0 ,    7.0 ,    3.0 ,    2.0 ,    1.0 ,    1.0 , 26.0 ,14.0 ,RB  ,LAC    ,5            ,-            ,-           ,-            ,bye          ,6            ,2            ,8            ,7            ,7             ,3             ,6             ,3             ,7             ,6             ,4             ,2             ,8             ,74.0 ,5.3
  2023 ,REG         ,   1 ,Tony Pollard          ,RB              ,DAL       , 2.9334285714285717 ,                 21.428571428571427  ,2.505153846153846  ,           14 ,        70 , 47.354292286229445 ,-6.354292286229445       , 5.0                ,-0.5776629351117677              ,    0.2727272727272727 ,              2 ,00-0035261     ,Tony              ,Pollard          ,                  20 ,T.Pollard         ,Tony Pollard          ,TEN    ,227.8 ,"1,124.1" ,8.4 , 46.5 ,362.0 ,  2.1 , 0.8 , 256.5 ,         8 ,1               ,Tony Pollard          ,       ,    ,      ,      ,         ,       ,            6.0 , 0.0 ,31.0 , 7.0 , 1.0 , 222.6 ,  13.1 ,99.0%  ,      ,         ,   ,     ,     ,      ,     ,       ,    ,    ,        ,    ,        ,4.0 ,  4.0 ,536.0 ,      2.1 ,      1.9 ,   28.0 ,-70.0       ,  21.0 ,   83.0 ,  252.0 ,"1,005" ,    ,      ,      ,    ,      ,        ,     ,          , 311.0 , 5.7 ,    ,     ,474.0 ,  19.0 ,31.0 ,  12.0 , 55.0 ,67.0 ,   21.0 ,    6.0 ,    1.0 ,    0.0 ,    0.0 , 14.0 ,17.0 ,RB  ,DAL    ,3            ,8            ,3           ,3            ,5            ,7            ,bye          ,1            ,5            ,0             ,5             ,6             ,4             ,8             ,3             ,1             ,3             ,2             ,67.0 ,3.9
